RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
15,2335,1,0.15258,1341092,34.395,34.576,-3.995,-4.138,-0.01000,0.010,65.935,14.733,-80.759,8.8370,-62.208,10.124,-17.969,-0.32100,-3.0219,0.07966,-0.20054,0.02115,-0.01987,0.00035,-0.00030,-0.00109
15,2335,2,0.15281,1343140,34.512,34.684,-2.018,-2.063,-0.01000,0.010,65.981,14.735,-28.006,7.9140,-53.879,9.78400,-13.192,-0.59000,-1.2481,0.07997,-0.03829,0.01864,-0.01810,0.00034,-0.00032,-0.00184
15,2335,3,0.15349,1348848,34.827,34.993,0.005,0.063,-0.01000,0.010,66.059,14.735,27.681,7.8330,-49.260,9.92500,-3.2180,0.05300,0.00230,0.08019,0.13132,0.01887,-0.01682,0.00035,-0.00018,0.00022
15,2335,4,0.15324,1346734,34.723,34.879,2.032,2.195,-0.01000,0.010,66.047,14.736,84.385,8.4070,-45.701,8.6510,-4.6620,-0.30500,0.68072,0.08031,0.30447,0.02157,-0.01575,0.00031,-0.00042,-0.00079
15,2335,5,0.15382,1351815,35.002,35.149,3.942,4.204,-0.01000,0.010,66.099,14.737,139.243,9.76700,-43.652,9.07500,1.1140,-0.48300,0.79304,0.08033,0.46816,0.02691,-0.01471,0.00033,-0.00042,-0.00123
15,2335,6,0.15382,1351693,35.017,35.150,6.047,6.418,-0.01000,0.010,66.154,14.738,198.503,11.888,-41.654,6.9570,-5.9230,-1.2730,0.32445,0.08025,0.64737,0.03552,-0.01367,0.00026,-0.00086,-0.00353
15,2335,7,0.15370,1350519,34.979,35.096,7.982,8.450,-0.01000,0.010,66.196,14.738,251.288,14.404,-39.246,6.2410,8.3460,-2.0400,-0.65371,0.08008,0.80825,0.04546,-0.01245,0.00025,-0.00057,-0.00578
15,2335,8,0.15354,1349103,34.925,35.027,10.021,10.589,-0.01000,0.010,66.234,14.739,305.167,17.751,-36.818,4.5760,19.319,-1.9740,-2.2506,0.07980,0.97344,0.05860,-0.01113,0.00020,-0.00040,-0.00549
15,2335,9,0.15353,1348832,34.924,35.019,10.997,11.612,-0.01000,0.010,66.270,14.739,330.227,19.569,-35.894,4.2820,23.021,-2.5730,-3.2200,0.07963,1.0498,0.06566,-0.01050,0.00020,-0.00036,-0.00727
15,2335,10,0.15316,1345627,34.767,34.855,11.995,12.655,-0.01000,0.010,66.299,14.740,353.133,21.433,-32.715,3.0660,20.755,-2.4480,-4.3482,0.07943,1.1245,0.07324,-0.00948,0.00016,-0.00052,-0.00688
15,2335,11,0.15338,1347380,34.866,34.954,12.985,13.687,-0.01000,0.010,66.345,14.740,376.973,23.697,-28.900,3.2750,27.753,-2.2500,-5.6037,0.07921,1.1940,0.08155,-0.00821,0.00017,-0.00037,-0.00621
15,2335,12,0.15356,1348812,34.943,35.034,13.988,14.730,-0.01000,0.010,66.380,14.740,399.446,26.127,-23.970,2.1340,33.216,-2.4230,-7.0139,0.07897,1.2596,0.09036,-0.00671,0.00014,-0.00027,-0.00668
15,2335,13,0.15374,1350225,35.012,35.116,14.986,15.762,-0.01000,0.010,66.430,14.740,418.799,28.781,-19.195,0.98800,35.557,-2.3100,-8.5547,0.07870,1.3154,0.09965,-0.00527,0.00010,-0.00026,-0.00628
15,2335,14,0.15363,1349254,34.635,35.070,16.027,16.736,-0.01000,0.010,66.472,14.741,382.106,40.314,-132.826,7.3570,57.047,-2.5510,-10.308,0.07839,1.2062,0.13188,-0.02851,0.00033,0.00058,-0.00702
15,2335,15,0.15386,1351152,34.548,35.176,17.007,17.685,-0.01000,0.010,66.511,14.741,366.173,47.559,-192.132,-10.579,-70.042,-2.7080,-12.093,0.07808,1.1547,0.15214,-0.04057,-0.00026,-0.00361,-0.00745
15,2335,16,0.15538,1364472,35.050,35.876,17.976,18.615,-0.01000,0.010,66.530,14.741,351.606,54.951,-245.264,-11.201,-127.201,-2.7050,-13.988,0.07775,1.0895,0.16973,-0.05030,-0.00027,-0.00537,-0.00728
15,2335,17,0.15524,1363118,34.800,35.812,19.047,19.643,-0.01000,0.010,66.583,14.742,326.915,61.264,-292.967,7.6810,86.510,-2.0160,-16.230,0.07736,1.0184,0.18724,-0.05946,0.00036,0.00171,-0.00526
15,2335,18,0.15543,1364498,34.751,35.895,19.979,20.550,-0.01000,0.010,66.630,14.741,313.849,66.156,-318.242,6.0150,36.379,-2.2060,-18.307,0.07699,0.97757,0.20046,-0.06423,0.00031,0.00011,-0.00580
15,2335,19,0.15620,1370930,35.228,36.249,18.962,19.556,-0.01000,0.010,66.701,14.740,329.997,61.786,-296.707,5.5810,32.494,-2.6040,-16.046,0.07739,1.0154,0.18651,-0.05955,0.00029,-0.00007,-0.00691
15,2335,20,0.15636,1372198,35.483,36.324,18.012,18.651,-0.01000,0.010,66.743,14.740,356.251,55.844,-249.482,-5.1010,-67.461,-2.9350,-14.060,0.07774,1.0899,0.17035,-0.05034,-0.00006,-0.00339,-0.00786
15,2335,21,0.15535,1363255,35.250,35.859,16.975,17.664,-0.01000,0.010,66.782,14.740,379.240,47.600,-180.517,10.263,79.366,-2.2640,-12.033,0.07809,1.1718,0.14993,-0.03711,0.00043,0.00130,-0.00598
15,2335,22,0.15467,1357138,35.101,35.546,16.042,16.750,-0.01000,0.010,66.830,14.740,386.896,40.964,-136.194,-12.343,-92.841,-2.8820,-10.334,0.07839,1.2046,0.13214,-0.02899,-0.00032,-0.00439,-0.00790
15,2335,23,0.15503,1360093,35.600,35.707,14.990,15.766,-0.01000,0.010,66.851,14.739,426.508,29.364,-19.690,1.3590,38.931,-2.7270,-8.5611,0.07870,1.3168,0.09998,-0.00518,0.00012,-0.00017,-0.00741
15,2335,24,0.15465,1356668,35.435,35.530,13.982,14.723,-0.01000,0.010,66.870,14.739,404.757,26.587,-24.330,1.7390,35.747,-2.5880,-7.0051,0.07897,1.2581,0.09059,-0.00662,0.00012,-0.00020,-0.00707
15,2335,25,0.15405,1351411,35.168,35.259,12.994,13.697,-0.01000,0.010,66.888,14.739,380.711,24.038,-28.977,4.1970,28.442,-2.4890,-5.6157,0.07921,1.1951,0.08198,-0.00810,0.00020,-0.00036,-0.00687
15,2335,26,0.15348,1346294,34.906,34.996,12.020,12.682,-0.01000,0.010,66.894,14.738,355.634,21.669,-32.424,3.0040,13.571,-2.5480,-4.3782,0.07943,1.1277,0.07377,-0.00936,0.00016,-0.00077,-0.00715
15,2335,27,0.15366,1347744,34.981,35.076,11.026,11.643,-0.01000,0.010,66.921,14.738,331.998,19.696,-35.525,3.8180,17.184,-2.8600,-3.2508,0.07962,1.0534,0.06602,-0.01039,0.00018,-0.00056,-0.00813
15,2335,28,0.15391,1349906,35.090,35.192,10.004,10.572,-0.01000,0.010,66.945,14.738,306.464,17.826,-36.563,4.7510,18.701,-1.7310,-2.2349,0.07980,0.97286,0.05857,-0.01102,0.00021,-0.00042,-0.00473

