RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
38,2335,2,0.08211,722087,9.93000,9.98158,-3.937,-4.075,-0.01000,0.010,64.430,14.687,-19.338,2.5610,-28.054,-0.64500,-0.79400,-0.35100,-2.8693,0.07299,-0.18721,0.01681,-0.01541,0.00000,0.00019,-0.00377
38,2335,3,0.08257,726603,10.045,10.094,-1.947,-2.002,-0.01000,0.010,64.175,14.687,-6.5200,2.3160,-21.377,-0.43700,3.7550,-0.27900,-1.1713,0.07329,-0.04986,0.01436,-0.01122,0.00002,0.00056,-0.00291
38,2335,4,0.08225,724039,9.96900,10.016,-0.011,0.021,-0.01000,0.010,64.038,14.687,6.9610,2.2480,-15.542,-0.78300,5.7930,-0.18800,-0.00539,0.07349,0.09262,0.01447,-0.00751,-0.00001,0.00064,-0.00190
38,2335,5,0.08238,725339,10.000,10.047,1.966,2.086,-0.01000,0.010,63.938,14.687,20.791,2.4370,-11.960,-0.98300,7.3780,-0.12700,0.68911,0.07361,0.23883,0.01731,-0.00493,-0.00003,0.00066,-0.00117
38,2335,6,0.08240,725675,10.005,10.052,4.041,4.258,-0.01000,0.010,63.858,14.688,35.858,2.8190,-9.08100,-1.0880,9.03800,-0.20300,0.87798,0.07364,0.39814,0.02288,-0.00244,-0.00004,0.00067,-0.00189
38,2335,7,0.08243,726018,10.011,10.059,5.953,6.258,-0.01000,0.010,63.799,14.688,49.597,3.3850,-8.0230,-1.1620,9.25300,-0.22400,0.56217,0.07359,0.54320,0.03058,-0.00093,-0.00004,0.00052,-0.00203
38,2335,8,0.08257,727385,10.045,10.095,8.031,8.434,-0.01000,0.010,63.755,14.688,65.106,4.2690,-9.57300,-1.0100,9.62500,-0.32100,-0.31344,0.07343,0.70481,0.04205,-0.00079,-0.00002,0.00038,-0.00296
38,2335,9,0.08237,725708,9.99400,10.046,9.998,10.489,-0.01000,0.010,63.713,14.688,78.626,5.2750,-10.752,-1.3160,5.7860,-0.38600,-1.6521,0.07320,0.85133,0.05528,-0.00019,-0.00004,-0.00024,-0.00357
38,2335,10,0.08228,724854,9.96800,10.022,10.979,11.511,-0.01000,0.010,63.711,14.688,84.770,5.8430,-10.955,-1.5020,7.1110,-0.36900,-2.5046,0.07305,0.91854,0.06257,0.00052,-0.00006,-0.00016,-0.00336
38,2335,11,0.08227,724839,9.96500,10.021,11.989,12.564,-0.01000,0.010,63.703,14.688,91.402,6.4760,-11.204,-1.1930,15.050,-0.41900,-3.5105,0.07288,0.98904,0.07059,0.00138,-0.00002,0.00069,-0.00385
38,2335,12,0.08225,724670,9.95400,10.015,12.998,13.610,-0.01000,0.010,63.665,14.688,97.151,7.1780,-10.613,-1.7970,11.311,-0.11000,-4.6449,0.07268,1.0508,0.07932,0.00276,-0.00009,0.00018,-0.00052
38,2335,13,0.08213,723720,9.92100,9.98791,14.009,14.654,-0.01000,0.010,63.650,14.688,101.916,7.9030,-9.82600,-1.2800,13.875,-0.16100,-5.9111,0.07246,1.1044,0.08836,0.00441,-0.00002,0.00042,-0.00103
38,2335,14,0.08236,725787,9.96600,10.044,15.031,15.699,-0.01000,0.010,63.627,14.688,106.062,8.7790,-9.62400,-1.6620,11.302,-0.11100,-7.3225,0.07221,1.1424,0.09799,0.00564,-0.00006,0.00006,-0.00045
38,2335,15,0.08270,728757,9.97800,10.125,16.007,16.640,-0.01000,0.010,63.609,14.688,101.504,11.528,-38.956,-1.5940,12.964,-0.10600,-8.7932,0.07195,1.0857,0.12483,-0.01431,-0.00004,0.00031,-0.00037
38,2335,16,0.08276,729330,9.95700,10.140,16.969,17.599,-0.01000,0.010,63.590,14.688,101.116,13.147,-50.387,0.00600,31.494,-0.11200,-10.360,0.07168,1.0803,0.14148,-0.02122,0.00015,0.00245,-0.00041
38,2335,17,0.08278,729468,9.90900,10.145,18.061,18.669,-0.01000,0.010,63.597,14.688,97.613,15.230,-69.001,-5.8300,-5.7840,-0.11200,-12.279,0.07135,1.0433,0.16245,-0.03343,-0.00052,-0.00183,-0.00039
38,2335,18,0.08301,731526,9.92200,10.202,18.956,19.541,-0.01000,0.010,63.590,14.688,94.536,16.956,-84.234,-3.4580,-1.4520,-0.05900,-13.962,0.07105,1.0057,0.17877,-0.04291,-0.00023,-0.00128,0.00018
38,2335,19,0.08339,734902,9.96600,10.295,19.993,20.553,-0.01000,0.010,63.577,14.688,91.429,18.932,-99.309,-3.4070,11.262,-0.01600,-16.036,0.07069,0.96489,0.19676,-0.05168,-0.00022,0.00021,0.00064
38,2335,20,0.08357,736479,10.052,10.339,19.001,19.584,-0.01000,0.010,63.570,14.688,95.394,17.324,-86.491,-3.2820,6.5860,-0.05900,-14.049,0.07104,1.0015,0.18013,-0.04374,-0.00021,-0.00036,0.00019
38,2335,21,0.08335,734538,10.048,10.285,18.006,18.614,-0.01000,0.010,63.569,14.688,98.998,15.345,-68.621,-3.6790,3.8810,-0.06300,-12.178,0.07136,1.0437,0.16148,-0.03265,-0.00026,-0.00071,0.00013
38,2335,22,0.08333,734415,10.094,10.282,16.993,17.621,-0.01000,0.010,63.576,14.688,102.202,13.376,-50.672,0.55800,39.717,-0.08800,-10.400,0.07167,1.0770,0.14189,-0.02099,0.00021,0.00334,-0.00015
