RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
27,2335,1,0.15317,1353284,34.638,34.772,-3.945,-4.091,-0.01000,0.010,62.975,14.703,-72.106,6.7790,-73.698,-0.16900,-3.9310,0.37300,-2.8972,0.07288,-0.20486,0.01454,-0.01360,0.00002,0.00014,0.00105
27,2335,2,0.15367,1357571,34.876,35.002,-1.949,-2.006,-0.01000,0.010,63.044,14.704,-24.446,5.8750,-58.190,0.02700,7.9590,0.21800,-1.1830,0.07318,-0.05875,0.01205,-0.01039,0.00002,0.00037,0.00063
27,2335,3,0.15343,1355429,34.772,34.894,-0.012,0.019,-0.01000,0.010,63.071,14.705,23.344,5.7300,-43.588,-1.0520,3.3850,0.64500,-0.00592,0.07338,0.08657,0.01216,-0.00736,-0.00001,0.00005,0.00201
27,2335,4,0.15410,1361192,35.075,35.198,2.015,2.140,-0.01000,0.010,63.095,14.704,74.998,6.4740,-32.645,-1.5760,5.1310,0.67600,0.71137,0.07351,0.24194,0.01496,-0.00477,-0.00002,-0.00007,0.00216
27,2335,5,0.15416,1361566,35.100,35.225,3.983,4.201,-0.01000,0.010,63.156,14.705,125.818,7.9460,-25.127,-0.35700,16.124,-0.14000,0.90350,0.07354,0.39510,0.02047,-0.00280,0.00003,0.00012,-0.00023
27,2335,6,0.15436,1363166,35.186,35.317,5.967,6.278,-0.01000,0.010,63.204,14.705,177.194,10.215,-20.866,-1.7770,-0.99700,-1.4130,0.59407,0.07349,0.54875,0.02889,-0.00144,-0.00001,-0.00063,-0.00398
27,2335,7,0.15469,1366025,35.331,35.471,8.041,8.448,-0.01000,0.010,63.251,14.706,230.842,13.446,-19.069,-2.3420,3.9400,-2.3740,-0.26906,0.07333,0.70726,0.04047,-0.00038,-0.00002,-0.00065,-0.00676
27,2335,8,0.15406,1360389,35.033,35.183,9.971,10.466,-0.01000,0.010,63.292,14.707,276.710,17.015,-19.646,-3.5690,9.67300,-1.6870,-1.5668,0.07311,0.85163,0.05377,0.00015,-0.00006,-0.00063,-0.00465
27,2335,9,0.15401,1359858,35.004,35.163,10.991,11.531,-0.01000,0.010,63.334,14.707,301.160,19.262,-21.185,-1.3200,10.781,-3.9310,-2.4447,0.07296,0.92600,0.06188,0.00030,0.00003,-0.00068,-0.01140
27,2335,10,0.15382,1358037,34.908,35.076,11.994,12.576,-0.01000,0.010,63.375,14.707,323.566,21.526,-21.371,-0.41600,14.158,-4.5570,-3.4372,0.07278,0.99622,0.07021,0.00067,0.00006,-0.00065,-0.01329
27,2335,11,0.15398,1359353,34.967,35.149,13.030,13.654,-0.01000,0.010,63.420,14.708,347.084,24.209,-21.156,-1.8780,8.7370,-3.5170,-4.5964,0.07258,1.0654,0.07960,0.00110,0.00002,-0.00091,-0.01006
27,2335,12,0.15396,1359104,34.942,35.141,14.012,14.673,-0.01000,0.010,63.448,14.708,366.951,26.839,-20.793,-0.85100,19.326,-3.7490,-5.8208,0.07237,1.1258,0.08888,0.00159,0.00006,-0.00063,-0.01073
27,2335,13,0.15368,1356538,34.792,35.015,15.013,15.707,-0.01000,0.010,63.501,14.709,383.771,29.667,-20.465,-2.3220,19.420,-3.5550,-7.1942,0.07213,1.1810,0.09902,0.00205,0.00001,-0.00069,-0.01013
27,2335,14,0.15450,1363644,34.891,35.393,15.989,16.631,-0.01000,0.010,63.557,14.709,359.234,40.017,-123.993,-9.15300,-51.980,-3.4970,-8.6548,0.07187,1.0952,0.12713,-0.01902,-0.00020,-0.00297,-0.00983
27,2335,15,0.15432,1361846,34.673,35.310,17.000,17.634,-0.01000,0.010,63.616,14.709,353.765,45.781,-158.058,-5.1530,-30.929,-3.4960,-10.294,0.07159,1.0815,0.14444,-0.02574,-0.00006,-0.00226,-0.00983
27,2335,16,0.15430,1361647,34.510,35.304,17.996,18.607,-0.01000,0.010,63.655,14.710,340.837,51.841,-203.757,-0.04700,39.244,-3.2150,-12.033,0.07128,1.0430,0.16186,-0.03473,0.00011,0.00011,-0.00898
27,2335,17,0.15505,1368111,34.681,35.648,18.975,19.558,-0.01000,0.010,63.700,14.710,329.020,58.597,-254.790,-3.8110,-22.097,-3.0340,-13.863,0.07096,0.99803,0.17955,-0.04456,0.00000,-0.00188,-0.00833
27,2335,18,0.15568,1373411,34.794,35.935,20.027,20.581,-0.01000,0.010,63.760,14.710,315.156,65.301,-301.927,-1.1740,45.300,-2.6880,-15.962,0.07060,0.94941,0.19701,-0.05328,0.00009,0.00038,-0.00723
27,2335,19,0.15587,1374804,35.043,36.022,18.989,19.574,-0.01000,0.010,63.825,14.709,333.315,59.377,-257.864,-0.18500,34.492,-2.9710,-13.890,0.07096,1.0005,0.18009,-0.04457,0.00012,-0.00003,-0.00805
27,2335,20,0.15607,1376430,35.293,36.114,17.954,18.560,-0.01000,0.010,63.865,14.709,345.854,53.198,-214.174,3.8230,72.196,-3.1530,-11.957,0.07129,1.0347,0.16218,-0.03591,0.00024,0.00116,-0.00858
27,2335,21,0.15514,1368067,35.043,35.684,17.003,17.640,-0.01000,0.010,63.909,14.709,359.220,46.321,-159.827,-3.2220,-1.7780,-3.4250,-10.299,0.07158,1.0866,0.14471,-0.02571,0.00000,-0.00130,-0.00951
27,2335,22,0.15543,1370446,35.303,35.817,16.032,16.675,-0.01000,0.010,63.943,14.708,363.958,40.816,-127.894,-4.0200,-11.433,-3.5550,-8.7219,0.07186,1.0965,0.12811,-0.01944,-0.00003,-0.00163,-0.00988
27,2335,23,0.15532,1369346,35.540,35.768,15.035,15.731,-0.01000,0.010,63.990,14.708,392.781,30.358,-20.585,-1.5310,26.012,-3.5740,-7.2258,0.07212,1.1833,0.09924,0.00210,0.00004,-0.00049,-0.00996
27,2335,24,0.15418,1359182,35.042,35.242,13.964,14.623,-0.01000,0.010,64.011,14.708,367.149,26.858,-20.569,-1.8710,12.197,-3.7140,-5.7581,0.07238,1.1233,0.08865,0.00161,0.00002,-0.00087,-0.01059
27,2335,25,0.15427,1359896,35.101,35.283,13.028,13.653,-0.01000,0.010,64.018,14.707,348.816,24.290,-20.867,-1.3400,17.216,-3.5560,-4.5941,0.07258,1.0667,0.07960,0.00119,0.00003,-0.00063,-0.01014
27,2335,26,0.15420,1359110,35.081,35.250,11.968,12.550,-0.01000,0.010,64.065,14.707,324.887,21.634,-21.497,-1.1290,7.7290,-4.8180,-3.4098,0.07279,0.99534,0.07019,0.00065,0.00004,-0.00087,-0.01401
27,2335,27,0.15419,1358924,35.087,35.247,11.022,11.563,-0.01000,0.010,64.099,14.707,302.790,19.385,-20.730,-1.5740,9.58700,-3.6320,-2.4735,0.07295,0.92878,0.06216,0.00040,0.00002,-0.00072,-0.01047
27,2335,28,0.15431,1359864,35.147,35.298,9.976,10.471,-0.01000,0.010,64.117,14.707,278.151,17.141,-19.445,-3.8570,7.4580,-1.8440,-1.5708,0.07311,0.85324,0.05401,0.00021,-0.00007,-0.00070,-0.00510
27,2335,29,0.15431,1359746,35.154,35.299,9.014,9.466,-0.01000,0.010,64.144,14.706,254.118,15.209,-18.592,-0.87000,8.4750,-3.8700,-0.86380,0.07323,0.78070,0.04702,0.00008,0.00003,-0.00059,-0.01126
27,2335,30,0.15404,1357281,35.037,35.175,7.972,8.377,-0.01000,0.010,64.167,14.706,227.603,13.255,-18.582,-2.9190,-1.6170,-2.6750,-0.23148,0.07334,0.70326,0.04017,-0.00034,-0.00004,-0.00083,-0.00773
27,2335,31,0.15422,1358699,35.122,35.254,6.045,6.360,-0.01000,0.010,64.196,14.706,179.198,10.379,-20.329,-1.3450,7.6450,-1.8210,0.57158,0.07348,0.55573,0.02952,-0.00129,0.00000,-0.00035,-0.00522
27,2335,32,0.15397,1356389,35.015,35.140,3.959,4.177,-0.01000,0.010,64.218,14.705,125.453,7.9350,-24.382,-0.61900,6.7420,-0.34700,0.90415,0.07354,0.39491,0.02049,-0.00268,0.00002,-0.00019,-0.00085
27,2335,33,0.15381,1354841,34.941,35.065,2.019,2.144,-0.01000,0.010,64.229,14.704,74.845,6.4990,-31.915,-1.3420,11.053,0.59700,0.71226,0.07351,0.24233,0.01511,-0.00464,-0.00001,0.00013,0.00193
27,2335,34,0.15358,1352631,34.835,34.957,0.000,0.033,-0.01000,0.010,64.271,14.704,24.277,5.7510,-42.878,-1.0570,6.0010,0.55700,-0.00012,0.07338,0.08927,0.01221,-0.00719,-0.00001,0.00014,0.00174

