RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
6,2335,2,0.08236,724483,10.010,10.075,-3.948,-4.030,0.00000,0.000,65.661,14.736,-21.526,3.0310,-26.329,3.2630,-10.850,-1.2920,-2.9908,0.00000,-0.09478,0.02213,-0.04191,0.00050,-0.00100,-0.01376
6,2335,3,0.08246,725569,10.040,10.101,-2.021,-2.013,0.00000,0.000,65.581,14.736,-7.4760,2.8280,-20.603,2.9470,-6.4960,-1.0310,-1.2592,0.00000,0.05336,0.02053,-0.03846,0.00046,-0.00066,-0.01090
6,2335,4,0.08229,724171,10.003,10.059,-0.004,0.102,0.00000,0.000,65.522,14.736,7.8940,2.7730,-16.667,2.7930,-7.9770,-0.87600,-0.00193,0.00000,0.21599,0.02101,-0.03618,0.00045,-0.00102,-0.00923
6,2335,5,0.08242,725406,10.038,10.091,1.972,2.178,0.00000,0.000,65.459,14.736,23.544,2.9850,-15.000,2.4530,-6.7480,-0.58200,0.67778,0.00000,0.38036,0.02468,-0.03477,0.00041,-0.00107,-0.00601
6,2335,6,0.08244,725735,10.050,10.097,4.060,4.372,0.00000,0.000,65.411,14.737,40.223,3.3620,-13.611,2.8320,0.87300,-0.50200,0.80142,0.00000,0.55587,0.03074,-0.03316,0.00046,-0.00038,-0.00507
6,2335,7,0.08250,726320,10.071,10.111,5.996,6.406,0.00000,0.000,65.377,14.737,55.698,3.8890,-13.232,2.2000,4.0640,-0.61700,0.37004,0.00000,0.71789,0.03855,-0.03189,0.00039,-0.00020,-0.00619
6,2335,8,0.08218,723513,10.000,10.032,7.969,8.482,0.00000,0.000,65.354,14.737,71.164,4.5710,-14.817,2.3960,7.6260,-0.65800,-0.60964,0.00000,0.88739,0.04888,-0.03191,0.00042,0.00003,-0.00658
6,2335,9,0.08264,727589,10.119,10.145,9.993,10.603,0.00000,0.000,65.336,14.737,87.359,5.5420,-14.775,2.2050,8.9590,-0.85800,-2.1799,0.00000,1.0476,0.06152,-0.02967,0.00041,-0.00002,-0.00851
6,2335,10,0.08227,724460,10.033,10.056,11.030,11.687,0.00000,0.000,65.310,14.738,93.813,6.0290,-13.954,2.2830,12.352,-0.71500,-3.2056,0.00000,1.1250,0.06883,-0.02838,0.00042,0.00030,-0.00703
6,2335,11,0.08209,722836,9.99100,10.011,12.015,12.715,0.00000,0.000,65.305,14.737,100.060,6.5390,-12.969,1.8140,11.018,-0.63600,-4.3183,0.00000,1.1963,0.07615,-0.02678,0.00037,0.00007,-0.00618
6,2335,12,0.08233,724923,10.048,10.068,12.992,13.729,0.00000,0.000,65.283,14.737,106.407,7.1500,-11.139,2.0850,15.336,-0.63400,-5.5548,0.00000,1.2568,0.08367,-0.02418,0.00041,0.00049,-0.00608
6,2335,13,0.08226,724431,10.029,10.053,14.001,14.769,0.00000,0.000,65.270,14.738,111.054,7.8480,-8.9990,1.9030,13.291,-0.62200,-6.9703,0.00000,1.3079,0.09246,-0.02156,0.00039,0.00019,-0.00593
6,2335,14,0.08224,724227,10.010,10.048,14.986,15.770,0.00000,0.000,65.268,14.737,113.420,8.7640,-11.625,2.9230,16.995,-0.50600,-8.4875,0.00000,1.3337,0.10286,-0.02231,0.00051,0.00060,-0.00467
6,2335,15,0.08254,726869,10.011,10.120,16.020,16.769,0.00000,0.000,65.248,14.737,108.805,11.538,-38.500,0.65300,-2.0160,-0.56800,-10.224,0.00000,1.2760,0.12980,-0.04029,0.00026,-0.00156,-0.00526
6,2335,16,0.08244,726063,9.91200,10.097,16.985,17.685,0.00000,0.000,65.230,14.737,100.862,14.228,-70.093,28.724,86.321,0.15400,-11.976,0.00000,1.1958,0.15640,-0.06144,0.00353,0.00880,0.00234
6,2335,17,0.08269,728239,9.92100,10.157,18.016,18.685,0.00000,0.000,65.241,14.738,96.626,16.147,-86.088,27.521,46.950,0.32300,-13.988,0.00000,1.1446,0.17438,-0.07142,0.00337,0.00425,0.00412
6,2335,18,0.08306,731556,9.97300,10.250,18.985,19.637,0.00000,0.000,65.236,14.738,94.782,17.785,-96.186,26.912,12.548,0.30300,-16.011,0.00000,1.1155,0.18917,-0.07677,0.00328,0.00029,0.00391
6,2335,19,0.08312,732048,9.95200,10.264,20.010,20.633,0.00000,0.000,65.242,14.738,90.427,18.979,-101.913,7.1940,-1.2220,-0.17900,-18.288,0.00000,1.0689,0.20027,-0.07940,0.00103,-0.00124,-0.00111
