RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
14,2335,2,0.08242,723515,10.021,10.086,-3.975,-4.058,-0.01000,0.010,66.374,14.731,-21.344,3.0150,-26.327,2.9990,-8.8130,-1.3390,-3.0012,0.07967,-0.09638,0.02235,-0.04306,0.00037,-0.00066,-0.01429
14,2335,3,0.08229,722849,9.99300,10.054,-2.034,-2.028,-0.01000,0.010,66.101,14.731,-7.3960,2.7980,-20.794,2.8910,-3.8090,-0.92500,-1.2602,0.07997,0.05072,0.02076,-0.04001,0.00036,-0.00025,-0.00988
14,2335,4,0.08245,724557,10.037,10.094,-0.003,0.102,-0.01000,0.010,65.930,14.730,8.0810,2.7710,-16.712,3.0840,-3.3250,-0.64200,-0.00152,0.08019,0.21367,0.02130,-0.03729,0.00038,-0.00038,-0.00677
14,2335,5,0.08213,721878,9.96200,10.015,2.028,2.236,-0.01000,0.010,65.827,14.730,23.932,2.9550,-15.175,2.8780,-2.7450,-0.75000,0.67994,0.08031,0.38351,0.02506,-0.03636,0.00036,-0.00051,-0.00789
14,2335,6,0.08228,723378,10.006,10.053,3.971,4.277,-0.01000,0.010,65.772,14.731,39.299,3.2830,-13.399,2.7000,-2.5740,-0.58300,0.79080,0.08033,0.54474,0.03033,-0.03444,0.00035,-0.00067,-0.00600
14,2335,7,0.08198,720913,9.94100,9.98075,6.056,6.469,-0.01000,0.010,65.706,14.732,55.642,3.8220,-13.546,2.1590,5.4950,-0.80000,0.32111,0.08025,0.72270,0.03887,-0.03375,0.00029,0.00007,-0.00827
14,2335,8,0.08211,722106,9.97900,10.012,7.994,8.510,-0.01000,0.010,65.669,14.732,71.722,4.5890,-16.918,1.4960,10.698,-0.84700,-0.66141,0.08007,0.89137,0.04966,-0.03461,0.00022,0.00048,-0.00865
14,2335,9,0.08222,723083,10.013,10.039,9.989,10.600,-0.01000,0.010,65.666,14.732,86.792,5.4790,-15.580,1.4150,8.8990,-0.84300,-2.2211,0.07980,1.0487,0.06191,-0.03181,0.00022,0.00009,-0.00849
14,2335,10,0.08212,722289,9.99100,10.015,10.989,11.644,-0.01000,0.010,65.619,14.732,93.345,5.9780,-14.528,0.70000,7.7610,-1.0030,-3.2115,0.07963,1.1208,0.06887,-0.03017,0.00014,-0.00013,-0.01017
14,2335,11,0.08223,723272,10.020,10.042,12.013,12.711,-0.01000,0.010,65.614,14.732,100.411,6.5580,-13.347,1.0510,9.97200,-0.98100,-4.3698,0.07943,1.1927,0.07648,-0.02812,0.00019,0.00004,-0.00987
14,2335,12,0.08207,721873,9.98100,10.002,13.003,13.739,-0.01000,0.010,65.603,14.732,105.887,7.1260,-11.280,1.0640,14.732,-0.76100,-5.6278,0.07921,1.2557,0.08431,-0.02566,0.00019,0.00053,-0.00752
14,2335,13,0.08236,724487,10.048,10.072,13.976,14.743,-0.01000,0.010,65.567,14.733,111.421,7.8230,-9.18000,0.27100,12.507,-0.91800,-6.9962,0.07897,1.3055,0.09239,-0.02282,0.00010,0.00020,-0.00909
14,2335,14,0.08175,719226,9.89200,9.92578,14.974,15.760,-0.01000,0.010,65.548,14.733,112.579,8.4860,-8.6050,0.55700,13.475,-0.70300,-8.5353,0.07870,1.3370,0.10154,-0.02170,0.00014,0.00030,-0.00690
14,2335,15,0.08230,724006,9.94900,10.058,16.068,16.815,-0.01000,0.010,65.546,14.733,108.154,11.419,-38.321,10.655,69.609,-0.49000,-10.380,0.07838,1.2733,0.12965,-0.04115,0.00133,0.00690,-0.00454
14,2335,16,0.08249,725753,9.94000,10.106,16.970,17.685,-0.01000,0.010,65.533,14.733,103.718,13.563,-60.289,-1.6150,-3.7010,-0.67600,-12.024,0.07809,1.2208,0.15029,-0.05600,-0.00009,-0.00160,-0.00645
