RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
31,2335,1,0.15315,1350435,34.565,34.746,-3.969,-4.111,-0.02000,0.020,63.596,14.697,-80.771,8.8810,-62.682,7.5620,-25.082,-0.46200,-2.9964,0.15940,-0.19909,0.02099,-0.01970,0.00028,-0.00053,-0.00153
31,2335,2,0.15385,1356627,34.896,35.069,-1.995,-2.040,-0.02000,0.020,63.636,14.698,-28.243,8.0130,-54.475,8.8040,-30.070,-0.31200,-1.2313,0.16002,-0.03797,0.01852,-0.01788,0.00032,-0.00088,-0.00099
31,2335,3,0.15414,1359053,35.037,35.203,-0.014,0.043,-0.02000,0.020,63.699,14.699,27.247,7.8960,-49.952,6.6360,-0.98200,0.06200,-0.00695,0.16044,0.12975,0.01875,-0.01667,0.00025,-0.00009,0.00023
31,2335,4,0.15445,1361783,35.190,35.349,1.999,2.160,-0.02000,0.020,63.733,14.700,84.243,8.5520,-46.946,6.5400,-5.7360,0.39900,0.67442,0.16068,0.30067,0.02148,-0.01562,0.00025,-0.00045,0.00133
31,2335,5,0.15377,1355662,34.890,35.036,3.989,4.255,-0.02000,0.020,63.760,14.700,140.526,9.82900,-44.269,6.4020,-2.0500,-1.3050,0.78958,0.16072,0.47391,0.02709,-0.01469,0.00026,-0.00053,-0.00375
31,2335,6,0.15387,1356608,34.956,35.089,6.004,6.374,-0.02000,0.020,63.810,14.702,197.432,11.892,-42.546,5.2530,-8.3030,-2.2240,0.34030,0.16056,0.64562,0.03541,-0.01370,0.00022,-0.00094,-0.00644
31,2335,7,0.15396,1357084,35.007,35.126,8.016,8.486,-0.02000,0.020,63.884,14.702,252.559,14.639,-40.601,3.5270,-6.0510,-2.7690,-0.67590,0.16021,0.81182,0.04603,-0.01253,0.00018,-0.00106,-0.00800
31,2335,8,0.15372,1354897,34.918,35.020,10.024,10.594,-0.02000,0.020,63.940,14.703,305.638,17.882,-38.689,2.7280,12.293,-1.4770,-2.2543,0.15966,0.97550,0.05889,-0.01136,0.00015,-0.00063,-0.00399
31,2335,9,0.15373,1354894,34.930,35.026,10.989,11.605,-0.02000,0.020,63.975,14.703,330.704,19.736,-38.158,4.8120,18.956,-4.3740,-3.2128,0.15932,1.0514,0.06602,-0.01074,0.00023,-0.00050,-0.01276
31,2335,10,0.15370,1354546,34.923,35.013,11.989,12.650,-0.02000,0.020,64.003,14.703,355.352,21.716,-34.933,3.3440,18.148,-3.7830,-4.3427,0.15893,1.1267,0.07369,-0.00966,0.00019,-0.00061,-0.01092
31,2335,11,0.15389,1356128,35.012,35.101,12.977,13.680,-0.02000,0.020,64.056,14.704,379.022,23.965,-30.969,2.7050,23.450,-2.6600,-5.5952,0.15849,1.1957,0.08193,-0.00840,0.00017,-0.00052,-0.00744
31,2335,12,0.15420,1358583,35.147,35.241,14.009,14.752,-0.02000,0.020,64.113,14.703,402.499,26.521,-26.061,4.1170,35.054,-3.2410,-7.0477,0.15798,1.2619,0.09098,-0.00685,0.00022,-0.00021,-0.00912
31,2335,13,0.15410,1357685,35.092,35.197,15.038,15.816,-0.02000,0.020,64.156,14.705,420.963,29.075,-20.634,1.9800,35.998,-2.8340,-8.6422,0.15743,1.3193,0.10028,-0.00533,0.00015,-0.00025,-0.00786
31,2335,14,0.15437,1359984,34.887,35.322,15.993,16.704,-0.02000,0.020,64.189,14.705,385.369,40.549,-135.179,7.6010,57.191,-2.9210,-10.252,0.15687,1.2080,0.13160,-0.02857,0.00035,0.00057,-0.00809
31,2335,15,0.15519,1367115,35.037,35.701,16.988,17.655,-0.02000,0.020,64.231,14.705,365.391,48.931,-208.058,-13.671,-102.788,-3.5090,-12.062,0.15623,1.1360,0.15352,-0.04302,-0.00034,-0.00463,-0.00974
31,2335,16,0.15510,1366210,34.828,35.661,18.004,18.639,-0.02000,0.020,64.291,14.706,347.029,55.031,-250.113,-17.758,-231.586,-3.6820,-14.050,0.15554,1.0827,0.17063,-0.05159,-0.00047,-0.00881,-0.01025
31,2335,17,0.15587,1372714,35.005,36.014,18.991,19.590,-0.02000,0.020,64.346,14.705,330.410,61.425,-292.614,1.9850,-3.0960,-2.9810,-16.115,0.15482,1.0235,0.18663,-0.05899,0.00019,-0.00123,-0.00809
31,2335,18,0.15588,1372883,34.869,36.024,20.046,20.616,-0.02000,0.020,64.378,14.707,314.294,66.695,-320.596,7.3700,75.731,-2.5810,-18.468,0.15400,0.97588,0.20116,-0.06419,0.00037,0.00139,-0.00691
31,2335,19,0.15623,1375613,35.157,36.182,19.011,19.604,-0.02000,0.020,64.448,14.706,328.764,61.939,-299.475,6.5790,16.712,-2.8050,-16.158,0.15480,1.0140,0.18711,-0.06005,0.00033,-0.00058,-0.00753
31,2335,20,0.15603,1373616,35.245,36.084,17.972,18.608,-0.02000,0.020,64.476,14.705,351.724,55.534,-252.493,-7.7340,-90.353,-3.5560,-13.985,0.15556,1.0841,0.17023,-0.05118,-0.00014,-0.00413,-0.00976
31,2335,21,0.15582,1371611,35.337,35.990,17.027,17.702,-0.02000,0.020,64.552,14.706,372.783,49.006,-200.460,-3.8070,-36.339,-3.2020,-12.136,0.15621,1.1489,0.15287,-0.04098,-0.00002,-0.00245,-0.00875
31,2335,22,0.15512,1365420,35.228,35.667,15.979,16.689,-0.02000,0.020,64.548,14.705,388.861,40.918,-137.269,18.129,136.132,-2.9700,-10.228,0.15688,1.2068,0.13149,-0.02853,0.00070,0.00315,-0.00816
31,2335,23,0.15447,1359539,35.259,35.366,15.015,15.792,-0.02000,0.020,64.566,14.704,422.712,29.269,-21.022,2.8820,51.357,-3.2690,-8.6049,0.15744,1.3183,0.10041,-0.00533,0.00018,0.00026,-0.00913
31,2335,24,0.15403,1355580,35.068,35.163,14.017,14.760,-0.02000,0.020,64.580,14.704,401.610,26.532,-25.726,3.0150,34.153,-3.1950,-7.0596,0.15798,1.2620,0.09119,-0.00681,0.00018,-0.00024,-0.00900
31,2335,25,0.15444,1359081,35.259,35.351,13.001,13.705,-0.02000,0.020,64.615,14.704,382.092,24.255,-31.090,2.9160,27.621,-2.6500,-5.6274,0.15848,1.1966,0.08232,-0.00831,0.00018,-0.00039,-0.00735
31,2335,26,0.15423,1357146,35.164,35.256,11.967,12.627,-0.02000,0.020,64.645,14.704,357.413,21.870,-35.193,2.0990,19.944,-3.6590,-4.3164,0.15894,1.1252,0.07367,-0.00962,0.00015,-0.00056,-0.01047
31,2335,27,0.15439,1358533,35.233,35.332,10.994,11.610,-0.02000,0.020,64.667,14.704,333.831,19.995,-38.491,4.6260,20.633,-4.5400,-3.2181,0.15932,1.0518,0.06629,-0.01067,0.00023,-0.00045,-0.01315
31,2335,28,0.15444,1358692,35.246,35.349,10.050,10.621,-0.02000,0.020,64.707,14.703,309.649,18.128,-38.779,2.8500,13.921,-1.4010,-2.2784,0.15965,0.97865,0.05919,-0.01122,0.00016,-0.00058,-0.00372

