RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
22,2335,2,0.08277,726998,10.124,10.175,-4.031,-4.174,-0.01000,0.010,66.230,14.733,-20.371,2.5220,-29.555,0.65600,-4.9520,-0.98700,-2.9666,0.07296,-0.19559,0.01628,-0.01685,0.00010,-0.00036,-0.01033
22,2335,3,0.08207,721137,9.95400,10.003,-1.955,-2.010,-0.01000,0.010,66.050,14.733,-6.3290,2.2680,-21.432,0.11900,0.14900,-0.41800,-1.1794,0.07327,-0.04998,0.01449,-0.01221,0.00003,0.00006,-0.00437
22,2335,4,0.08229,723249,10.009,10.057,-0.009,0.021,-0.01000,0.010,65.944,14.733,6.8250,2.2120,-15.021,0.31400,-1.3670,-0.31400,-0.00444,0.07348,0.08941,0.01440,-0.00797,0.00006,-0.00027,-0.00318
22,2335,5,0.08234,723887,10.022,10.069,1.982,2.101,-0.01000,0.010,65.846,14.733,20.751,2.3930,-11.230,0.31800,1.2470,-0.17000,0.69510,0.07360,0.23645,0.01719,-0.00526,0.00006,-0.00014,-0.00158
22,2335,6,0.08240,724509,10.036,10.083,3.964,4.173,-0.01000,0.010,65.772,14.733,34.901,2.7410,-8.0730,0.77200,4.2960,-0.23800,0.88576,0.07363,0.38541,0.02225,-0.00260,0.00012,0.00005,-0.00222
22,2335,7,0.08218,722730,9.98300,10.030,6.020,6.326,-0.01000,0.010,65.719,14.734,49.792,3.3340,-7.4020,0.08700,7.2660,-0.30300,0.55014,0.07357,0.54525,0.03059,-0.00132,0.00005,0.00021,-0.00283
22,2335,8,0.08215,722481,9.97300,10.022,8.050,8.456,-0.01000,0.010,65.692,14.734,65.326,4.2320,-11.551,-0.25300,11.760,-0.28800,-0.31374,0.07342,0.71061,0.04249,-0.00302,0.00002,0.00055,-0.00258
22,2335,9,0.08200,721273,9.93500,9.98675,9.981,10.474,-0.01000,0.010,65.652,14.734,78.526,5.2240,-12.082,-0.58600,11.143,-0.37300,-1.6255,0.07319,0.85372,0.05553,-0.00197,-0.00001,0.00031,-0.00341
22,2335,10,0.08180,719594,9.88500,9.93817,10.976,11.510,-0.01000,0.010,65.608,14.734,84.516,5.7510,-11.628,-0.98700,10.975,-0.31000,-2.4876,0.07304,0.92193,0.06260,-0.00081,-0.00006,0.00022,-0.00271
22,2335,11,0.08220,723135,9.97900,10.036,11.994,12.568,-0.01000,0.010,65.600,14.734,91.574,6.4530,-11.123,-0.63300,15.763,-0.26100,-3.5001,0.07287,0.98802,0.07066,0.00060,-0.00001,0.00069,-0.00212
22,2335,12,0.08263,726950,10.078,10.141,13.054,13.666,-0.01000,0.010,65.581,14.734,98.503,7.2930,-10.336,-1.1890,16.517,-0.20500,-4.6945,0.07266,1.0507,0.07999,0.00225,-0.00007,0.00068,-0.00146
22,2335,13,0.08229,723968,9.98900,10.057,13.958,14.599,-0.01000,0.010,65.557,14.734,102.229,7.8910,-9.42700,-1.5490,14.907,-0.19000,-5.8257,0.07246,1.0988,0.08796,0.00381,-0.00011,0.00045,-0.00128
22,2335,14,0.08217,722957,9.95000,10.027,14.988,15.654,-0.01000,0.010,65.524,14.734,105.825,8.6770,-8.8660,-1.9460,11.970,-0.15600,-7.2405,0.07221,1.1402,0.09744,0.00529,-0.00015,0.00007,-0.00089
22,2335,15,0.08266,727271,10.003,10.147,15.985,16.621,-0.01000,0.010,65.520,14.734,102.221,11.375,-37.493,0.01600,25.305,-0.15100,-8.7373,0.07195,1.0895,0.12347,-0.01399,0.00009,0.00165,-0.00081
22,2335,16,0.08259,726754,9.94200,10.131,17.023,17.646,-0.01000,0.010,65.492,14.734,100.028,13.267,-52.443,-1.9170,20.200,-0.15100,-10.428,0.07166,1.0684,0.14303,-0.02358,-0.00013,0.00108,-0.00078
22,2335,17,0.08271,727788,9.92600,10.159,18.026,18.633,-0.01000,0.010,65.480,14.734,97.777,15.090,-67.805,-2.1630,21.442,-0.16900,-12.190,0.07135,1.0421,0.16115,-0.03324,-0.00015,0.00124,-0.00095
22,2335,18,0.08279,728563,9.90000,10.181,19.006,19.587,-0.01000,0.010,65.483,14.735,93.773,16.893,-83.020,-4.5330,-12.803,-0.12600,-14.033,0.07103,0.99832,0.17875,-0.04302,-0.00041,-0.00266,-0.00048
22,2335,19,0.08347,734562,10.021,10.349,19.989,20.549,-0.01000,0.010,65.483,14.735,91.915,18.840,-97.903,-2.1010,0.52400,-0.26600,-16.001,0.07069,0.96352,0.19519,-0.05128,-0.00012,-0.00109,-0.00189
22,2335,20,0.08361,735789,10.096,10.383,19.012,19.593,-0.01000,0.010,65.476,14.735,95.671,17.279,-85.457,-4.2300,-7.7750,-0.13100,-14.045,0.07103,0.99872,0.17927,-0.04371,-0.00037,-0.00207,-0.00051
