Time (sec), RPM, Q ind (psf), Axial Force (Lb), Roll Moment (Lb in), Temperature (C)
0.000000,228.374591,7.791245,-0.966055,-0.739918,16.186371
0.250000,227.684543,7.791245,-0.946610,-0.646185,16.186371
0.500000,231.379940,7.799590,-0.906998,-0.757868,16.176892
0.750000,225.377507,7.799590,-0.891889,-0.693174,16.176892
1.000000,231.540662,7.797148,-0.925480,-0.646897,16.173769
1.250000,227.500012,7.797148,-0.960652,-0.825757,16.173769
1.500000,226.001469,7.799278,-0.904976,-0.710106,16.173556
1.750000,225.907867,7.796104,-0.921457,-0.731030,16.149442
2.000000,216.121785,7.796104,-0.936714,-0.663419,16.149442
2.250000,222.855710,7.797783,-0.934657,-0.555763,16.147266
2.500000,223.601096,7.797783,-0.898342,-0.586187,16.147266
2.750000,233.560731,7.789003,-0.927486,-0.675557,16.127699
3.000000,228.819862,7.789003,-0.875822,-0.551238,16.127699
3.250000,230.595176,7.787448,-0.904342,-0.687739,16.138294
3.500000,233.796217,7.787448,-0.986677,-0.723693,16.138294
3.750000,227.800162,7.785947,-0.940007,-0.854764,16.145475
4.000000,227.817461,7.785947,-0.935991,-0.702176,16.145475
4.250000,222.979941,7.790343,-0.934628,-0.916825,16.146720
4.500000,208.405696,7.790343,-0.867492,-0.626023,16.146720
4.750000,222.335449,7.793143,-0.913205,-0.612890,16.147027
5.000000,227.517265,7.793143,-0.981073,-0.616394,16.147027
5.250000,229.612338,7.793992,-0.867089,-0.754447,16.163403
5.500000,229.983087,7.796058,-0.951963,-0.572679,16.191138
5.750000,237.283108,7.796058,-0.957871,-0.758386,16.191138
6.000000,231.002454,7.796868,-0.935233,-0.701710,16.213803
6.250000,230.252270,7.796868,-0.916958,-0.735342,16.213803
6.500000,230.023865,7.798771,-0.889096,-0.751139,16.223842
6.750000,221.534031,7.798771,-0.911286,-0.730809,16.223842
7.000000,222.848468,7.792880,-0.957061,-0.874940,16.238145
7.250000,227.836926,7.792880,-0.907971,-0.708026,16.238145
7.500000,227.962443,7.792747,-0.899901,-0.727393,16.254120
7.750000,226.680267,7.792747,-0.882793,-0.521690,16.254120
8.000000,231.221669,7.789877,-0.913924,-0.772387,16.262506
8.250000,223.107422,7.789877,-0.939859,-0.711225,16.262506
8.500000,231.598755,7.787282,-0.932602,-0.812580,16.283164
8.750000,225.978061,7.792175,-0.864669,-0.811635,16.290955
9.000000,227.916981,7.792175,-0.928472,-0.646580,16.290955
9.250000,212.911296,7.791090,-0.882766,-0.742255,16.312812
9.500000,227.406242,7.791090,-0.914747,-0.649637,16.312812
9.750000,225.396557,7.792093,-0.876343,-0.673160,16.332209
10.000000,225.806907,7.792093,-0.895951,-0.671232,16.332209
10.250000,228.470249,7.793509,-0.876559,-0.689393,16.343456
10.500000,238.114136,7.793509,-0.953048,-0.695340,16.343456
10.750000,225.626466,7.793451,-0.983928,-0.771294,16.342334
