Time (sec), RPM, Q ind (psf), Axial Force (Lb), Roll Moment (Lb in), Temperature (C)
0.000000,0.000000,-0.000936,0.001429,-0.003873,17.465821
0.250000,0.000000,-0.000936,0.001866,0.005639,17.465821
0.500000,0.000000,-0.000936,0.001367,0.003010,17.447979
0.750000,0.000000,-0.000936,0.000571,-0.006529,17.480686
1.000000,0.000000,-0.000936,-0.001497,0.004770,17.480686
1.250000,0.000000,-0.000936,-0.000666,0.003020,17.481353
1.500000,0.000000,-0.000936,-0.002157,-0.000597,17.481353
1.750000,0.000000,-0.000936,-0.003025,0.008059,17.476600
2.000000,0.000000,-0.000936,-0.003371,0.004358,17.476600
2.250000,0.000000,-0.000936,0.000728,-0.002012,17.504053
2.500000,0.000000,-0.000936,-0.000479,0.009578,17.504053
2.750000,0.000000,-0.000936,-0.002514,0.003422,17.498204
3.000000,0.000000,-0.000936,0.000176,-0.000401,17.498204
3.250000,0.000000,-0.000936,-0.001826,0.009389,17.506093
3.500000,0.000000,-0.000936,-0.000681,0.000716,17.506093
3.750000,0.000000,-0.000936,-0.001474,0.000772,17.521573
4.000000,0.000000,-0.000936,-0.000155,0.008012,17.521573
4.250000,0.000000,-0.000936,0.002161,0.002778,17.519510
4.500000,0.000000,-0.000936,0.002392,0.005428,17.527496
4.750000,0.000000,-0.000936,-0.001975,0.012169,17.527496
5.000000,0.000000,-0.000936,-0.000892,0.003524,17.531280
5.250000,0.000000,-0.000936,0.000687,0.007107,17.531280
5.500000,0.000000,-0.000936,-0.001971,0.006013,17.539235
5.750000,0.000000,-0.000936,-0.000377,0.001424,17.539235
6.000000,0.000000,-0.000936,0.000715,0.008492,17.547023
6.250000,0.000000,-0.000936,-0.001786,0.005618,17.547023
6.500000,0.000000,-0.000936,-0.000809,-0.000713,17.551331
6.750000,0.000000,-0.000936,-0.003648,0.008876,17.551331
7.000000,0.000000,-0.000936,-0.004285,0.007520,17.551549
7.250000,0.000000,-0.000936,-0.002777,0.002132,17.551549
7.500000,0.000000,-0.000936,-0.003025,0.007976,17.565990
7.750000,0.000000,-0.000936,-0.001513,0.009921,17.563536
8.000000,0.000000,-0.000936,0.001054,0.005531,17.563536
8.250000,0.000000,-0.000936,0.002116,0.004593,17.576611
8.500000,0.000000,-0.000936,0.002246,0.008536,17.576611
8.750000,0.000000,-0.000936,-0.002424,0.003077,17.579034
9.000000,0.000000,-0.000936,-0.001969,0.005915,17.579034
9.250000,0.000000,-0.000936,-0.002086,0.010643,17.580426
9.500000,0.000000,-0.000936,0.005109,0.002905,17.580426
9.750000,0.000000,-0.000936,-0.001965,0.004826,17.589619
10.000000,0.000000,-0.000936,-0.000724,0.009802,17.589619
10.250000,0.000000,-0.000936,0.002260,-0.001775,17.595606
10.500000,0.000000,-0.000936,0.001466,0.003212,17.595606
10.750000,0.000000,-0.000936,0.001618,0.005819,17.600002
11.000000,0.000000,-0.000936,0.001769,-0.002261,17.600002
11.250000,0.000000,-0.000936,-0.001284,0.005398,17.606812
11.500000,0.000000,-0.000936,-0.003790,0.005887,17.607017
11.750000,0.000000,-0.000936,-0.000935,-0.004174,17.607017
12.000000,0.000000,-0.000936,-0.004456,0.001044,17.618678
12.250000,0.000000,-0.000936,0.001435,0.007017,17.618678
12.500000,0.000000,-0.000936,0.003361,-0.003265,17.619695
12.750000,0.000000,-0.000936,-0.002806,0.003935,17.619695
13.000000,0.000000,-0.000936,0.000061,0.000652,17.623351
13.250000,0.000000,-0.000936,0.000385,-0.000515,17.623351
13.500000,0.000000,-0.000936,-0.002796,0.001655,17.629118
13.750000,0.000000,-0.000936,-0.004052,0.006868,17.629118
14.000000,0.000000,-0.000936,0.000118,-0.002061,17.628949
14.250000,0.000000,-0.000936,-0.001183,0.000026,17.628949
14.500000,0.000000,-0.000936,0.000578,0.005133,17.628429
14.750000,0.000000,-0.000936,-0.003938,-0.003450,17.635977
15.000000,0.000000,-0.000936,-0.001897,0.003086,17.635977
15.250000,0.000000,-0.000936,0.000721,0.004721,17.639950
15.500000,0.000000,-0.000936,0.001222,0.000800,17.639950
15.750000,0.000000,-0.000936,0.000838,0.006058,17.639819
16.000000,0.000000,-0.000936,0.001102,0.005722,17.639819
16.250000,0.000000,-0.000936,0.001078,-0.001479,17.649834
16.500000,0.000000,-0.000936,0.001145,0.007765,17.649834
16.750000,0.000000,-0.000936,-0.003308,0.002135,17.650906
17.000000,0.000000,-0.000936,0.001808,-0.001344,17.650906
17.250000,0.000000,-0.000936,-0.002288,0.008540,17.660610
17.500000,0.000000,-0.000936,0.000804,0.003124,17.660610
17.750000,0.000000,-0.000936,-0.000560,-0.000520,17.657957
18.000000,0.000000,-0.000936,-0.005217,0.006207,17.657957
18.250000,0.000000,-0.000936,-0.000610,0.004126,17.664841
18.500000,0.000000,-0.000936,0.000981,-0.001375,17.665908
18.750000,0.000000,-0.000936,0.000982,0.008382,17.665908
19.000000,0.000000,-0.000936,-0.001171,0.001346,17.668138
19.250000,0.000000,-0.000936,-0.001624,0.001468,17.668138
19.500000,0.000000,-0.000936,0.001722,0.009364,17.675368
19.750000,0.000000,-0.000936,-0.001998,0.003475,17.675368
20.000000,0.000000,-0.000936,-0.003241,0.002362,17.673044
20.250000,0.000000,-0.000936,0.000192,0.009140,17.673044
20.500000,0.000000,-0.000936,-0.002109,0.005821,17.677730
20.750000,0.000000,-0.000936,-0.000732,-0.000360,17.677730
21.000000,0.000000,-0.000936,-0.003002,0.005463,17.675642
21.250000,0.000000,-0.000936,-0.001773,0.005100,17.675642
21.500000,0.000000,-0.000936,-0.002958,0.002626,17.688278
21.750000,0.000000,-0.000936,-0.000984,0.009807,17.683284
22.000000,0.000000,-0.000936,-0.002162,0.009044,17.683284
22.250000,0.000000,-0.000936,0.000361,0.006390,17.694769
22.500000,0.000000,-0.000936,0.001982,0.008101,17.694769
22.750000,0.000000,-0.000936,-0.001744,0.001197,17.690159
23.000000,0.000000,-0.000936,-0.001645,0.003039,17.690159
23.250000,0.000000,-0.000936,-0.002353,0.008172,17.702712
23.500000,0.000000,-0.000936,-0.003275,0.004305,17.702712
23.750000,0.000000,-0.000936,-0.002118,0.005448,17.695692
24.000000,0.000000,-0.000936,-0.000284,0.006019,17.695692
24.250000,0.000000,-0.000936,-0.000709,0.005831,17.712400
24.500000,0.000000,-0.000936,-0.001336,0.005620,17.712400
24.750000,0.000000,-0.000936,-0.002823,0.009117,17.716251
25.000000,0.000000,-0.000936,-0.004375,0.006197,17.705977
25.250000,0.000000,-0.000936,-0.001986,0.001196,17.705977
25.500000,0.000000,-0.000936,0.001630,0.011201,17.715682
25.750000,0.000000,-0.000936,0.000981,0.003572,17.715682
26.000000,171.115064,-0.000936,-0.006100,0.145437,17.721659
26.250000,240.897343,-0.000936,0.002229,0.132438,17.721659
26.500000,296.756085,-0.000936,0.006853,0.076462,17.723380
26.750000,333.785334,-0.000936,0.016067,0.097666,17.723380
27.000000,363.449132,-0.000936,0.003532,0.064188,17.727842
27.250000,385.291497,-0.000936,0.005888,0.048210,17.727842
27.500000,404.865129,-0.000936,0.009307,0.074543,17.729513
27.750000,421.762969,-0.000936,0.004977,0.045640,17.729513
28.000000,437.924239,-0.000936,0.017183,0.051869,17.738701
28.250000,443.647522,-0.000936,0.008272,0.066173,17.738701
28.500000,450.450450,-0.000936,0.015761,0.037181,17.741000
28.750000,456.534145,-0.000936,0.012614,0.058295,17.747285
29.000000,468.183060,-0.000936,0.012412,0.046540,17.747285
29.250000,467.098733,-0.000936,0.015874,0.038621,17.742727
29.500000,505.369551,-0.000936,0.009322,0.043890,17.742727
29.750000,653.318997,-0.000936,0.026485,0.249611,17.750333
30.000000,817.410851,-0.000936,0.038122,0.167702,17.750333
30.250000,1028.145483,-0.000936,0.074557,0.342092,17.746534
30.500000,1171.217334,-0.000936,0.095019,0.264069,17.746534
30.750000,1258.950350,-0.000936,0.128479,0.238232,17.741794
31.000000,1325.600663,-0.000936,0.135427,0.210295,17.741794
31.250000,1370.841068,-0.000936,0.127527,0.200448,17.744875
31.500000,1406.387343,-0.000936,0.119679,0.182110,17.744875
31.750000,1430.785740,-0.000936,0.171394,0.272394,17.752198
32.000000,1457.814493,-0.000936,0.166838,0.221505,17.752198
32.250000,1468.294026,-0.000936,0.181116,0.185744,17.750619
32.500000,1473.839352,-0.000936,0.149457,0.152962,17.752381
32.750000,1481.527208,-0.000936,0.189907,0.204673,17.752381
33.000000,1491.934231,-0.000936,0.167306,0.169711,17.766033
33.250000,1487.634042,-0.000936,0.194528,0.181849,17.766033
33.500000,1490.683230,-0.000936,0.174694,0.168041,17.761868
33.750000,1501.266694,-0.000936,0.176772,0.168293,17.761868
34.000000,1493.187333,-0.000936,0.183866,0.154219,17.772479
34.250000,1494.675220,-0.000936,0.167137,0.192424,17.772479
34.500000,1500.750375,-0.000936,0.183891,0.154700,17.776994
34.750000,1497.846845,-0.000936,0.181261,0.138229,17.776994
35.000000,1493.280239,-0.000936,0.190811,0.144128,17.781541
35.250000,1504.372081,-0.000936,0.169603,0.145314,17.781541
35.500000,1495.886313,-0.000936,0.173947,0.169478,17.783528
35.750000,1494.907970,-0.000936,0.145461,0.177852,17.787558
36.000000,1507.159005,-0.000936,0.211104,0.174105,17.787558
36.250000,1497.379586,-0.000936,0.176424,0.197066,17.794267
36.500000,1502.065340,-0.000936,0.164287,0.198877,17.794267
36.750000,1503.759398,-0.000936,0.177939,0.184724,17.796459
37.000000,1494.535604,-0.000936,0.153183,0.174318,17.796459
37.250000,1505.551722,-0.000936,0.199698,0.186458,17.797456
37.500000,1501.078900,-0.000936,0.184891,0.161876,17.797456
37.750000,1497.893587,-0.000936,0.181686,0.141691,17.800373
38.000000,1501.830356,-0.000936,0.186163,0.171873,17.800373
38.250000,1508.769724,-0.000936,0.169284,0.159181,17.803581
38.500000,1609.118337,-0.000936,0.180192,0.311850,17.803581
38.750000,1693.360615,-0.000936,0.242496,0.298660,17.811174
39.000000,1764.122165,-0.000936,0.178214,0.296004,17.811174
39.250000,1794.459606,-0.000936,0.233024,0.285121,17.808952
39.500000,1835.844871,-0.000936,0.293456,0.278762,17.805377
39.750000,1851.994753,-0.000936,0.336607,0.277069,17.805377
40.000000,1862.775536,-0.000936,0.295995,0.254880,17.799195
40.250000,1867.558945,-0.000936,0.327770,0.257194,17.799195
40.500000,1875.806010,-0.000936,0.251385,0.248425,17.813530
40.750000,1885.310291,-0.000936,0.308838,0.252820,17.813530
41.000000,1892.147588,-0.000936,0.312462,0.247477,17.814105
41.250000,1882.279126,-0.000936,0.326744,0.251380,17.814105
41.500000,1883.608680,-0.000936,0.248094,0.248576,17.817207
41.750000,1894.612197,-0.000936,0.287631,0.242799,17.817207
42.000000,1884.644077,-0.000936,0.286792,0.249890,17.815854
42.250000,1884.792084,-0.000936,0.352202,0.245347,17.815854
42.500000,1886.644132,-0.000936,0.327914,0.249128,17.818852
42.750000,1905.366783,-0.000936,0.297807,0.250174,17.834231
43.000000,1907.638503,-0.000936,0.264462,0.244471,17.834231
43.250000,1905.518063,-0.000936,0.287787,0.244144,17.825812
43.500000,1896.558536,-0.000936,0.328845,0.245468,17.825812
43.750000,1931.589537,-0.000936,0.341497,0.251148,17.829048
44.000000,2031.832035,-0.000936,0.310473,0.405090,17.829048
44.250000,2122.203555,-0.000936,0.369917,0.377988,17.831081
44.500000,2155.849989,-0.000936,0.348607,0.363404,17.831081
44.750000,2174.208452,-0.000936,0.334512,0.348526,17.832681
45.000000,2193.082652,-0.000936,0.375796,0.342752,17.832681
45.250000,2194.787380,-0.000936,0.474147,0.335574,17.832008
45.500000,2197.701570,-0.000936,0.418125,0.336677,17.832008
45.750000,2201.128078,-0.000936,0.449205,0.341709,17.824757
46.000000,2202.643172,-0.000936,0.442469,0.338008,17.824680
46.250000,2221.091111,-0.000936,0.440528,0.334208,17.824680
46.500000,2219.345293,-0.000936,0.417804,0.341145,17.825065
46.750000,2228.205366,-0.000936,0.412777,0.339217,17.825065
47.000000,2234.636872,-0.000936,0.413047,0.340078,17.832691
47.250000,2219.242683,-0.000936,0.426132,0.330346,17.832691
47.500000,2222.119346,-0.000936,0.398349,0.333197,17.827505
47.750000,2215.759590,-0.000936,0.411758,0.327359,17.827505
48.000000,2227.274836,-0.000936,0.389949,0.336067,17.836198
48.250000,2223.045572,-0.000936,0.420812,0.330533,17.836198
48.500000,2229.965157,-0.000936,0.421761,0.330674,17.840165
48.750000,2223.766505,-0.000936,0.426992,0.331133,17.840165
49.000000,2247.401442,-0.000936,0.388281,0.330530,17.829657
49.250000,2362.088480,-0.000936,0.428853,0.493476,17.829657
49.500000,2424.732269,-0.000936,0.506735,0.454302,17.835470
49.750000,2491.823703,-0.000936,0.486810,0.448679,17.837458
50.000000,2629.848784,-0.000936,0.537060,0.604014,17.837458
50.250000,2701.485817,-0.000936,0.619601,0.570321,17.832943
50.500000,2739.882413,-0.000936,0.581119,0.550635,17.832943
50.750000,2796.387999,-0.000936,0.642379,0.524247,17.841819
51.000000,2831.691346,-0.000936,0.666008,0.520230,17.841819
51.250000,2820.542955,-0.000936,0.668634,0.512643,17.836133
51.500000,2819.217667,-0.000936,0.675460,0.512258,17.836133
51.750000,2946.412129,-0.000936,0.644863,0.677168,17.842658
52.000000,3008.084226,-0.000936,0.768942,0.637925,17.842658
52.250000,3035.093266,-0.000936,0.786824,0.618693,17.844666
52.500000,3078.106964,-0.000936,0.862524,0.600199,17.844666
52.750000,3066.504823,-0.000936,0.910498,0.589301,17.839352
53.000000,3074.361109,-0.000936,0.918858,0.596924,17.841136
53.250000,3095.975232,-0.000936,0.889149,0.587837,17.841136
53.500000,3222.125260,-0.000936,0.960867,0.734603,17.846319
53.750000,3302.828047,-0.000936,0.926175,0.660242,17.846319
54.000000,3309.888291,-0.000936,1.027072,0.627572,17.841661
54.250000,3347.513774,-0.000936,1.108274,0.649835,17.841661
