Time (sec), RPM, Q ind (psf), Axial Force (Lb), Roll Moment (Lb in), Temperature (C)
0.000000,328.526354,11.988974,-1.352348,-1.121680,17.591039
0.250000,335.833427,11.988974,-1.355150,-1.155019,17.591039
0.500000,364.105287,11.975219,-1.442033,-1.182184,17.588593
0.750000,353.089162,11.975219,-1.291635,-0.858202,17.588593
1.000000,367.914766,11.963332,-1.202729,-1.228233,17.590215
1.250000,340.674393,11.946304,-1.149609,-1.152229,17.601096
1.500000,341.491178,11.946304,-1.315063,-1.014830,17.601096
1.750000,323.570056,11.936561,-1.396992,-1.134357,17.601103
2.000000,352.213441,11.936561,-1.313659,-1.257777,17.601103
2.250000,347.594357,11.927184,-1.093895,-1.208533,17.614023
2.500000,354.468519,11.927184,-1.333365,-1.156962,17.614023
2.750000,372.303707,11.919756,-1.389405,-1.386040,17.609965
3.000000,375.780920,11.919756,-1.275240,-0.843897,17.609965
3.250000,338.995021,11.916892,-1.352401,-0.935386,17.615628
3.500000,356.186137,11.916892,-1.367102,-1.080308,17.615628
3.750000,326.031584,11.914850,-1.311496,-1.290989,17.616276
4.000000,362.718576,11.914850,-1.263675,-1.182530,17.616276
4.250000,340.553541,11.907704,-1.295695,-1.001502,17.621416
4.500000,340.490732,11.901645,-1.248200,-0.968660,17.623049
4.750000,344.325445,11.901645,-1.287284,-1.032560,17.623049
5.000000,333.347223,11.896095,-1.361292,-1.020796,17.621635
5.250000,365.260667,11.896095,-1.317022,-1.086987,17.621635
5.500000,342.121581,11.881265,-1.277972,-1.009107,17.635400
5.750000,341.629716,11.881265,-1.387291,-0.941441,17.635400
6.000000,333.400476,11.875813,-1.370667,-0.977050,17.625407
6.250000,364.401054,11.875813,-1.412636,-1.043031,17.625407
6.500000,334.814422,11.870244,-1.297766,-1.166889,17.632649
6.750000,364.365094,11.870244,-1.249075,-1.118763,17.632649
7.000000,328.863980,11.860711,-1.342736,-0.926562,17.634484
7.250000,322.602325,11.860711,-1.290297,-0.983530,17.634484
7.500000,343.229792,11.861542,-1.446022,-0.784062,17.631183
7.750000,360.130547,11.861542,-1.336840,-1.078086,17.631183
8.000000,361.005400,11.849395,-1.291079,-1.143494,17.633732
8.250000,329.509648,11.841275,-1.326790,-0.929979,17.634045
8.500000,340.285556,11.841275,-1.265395,-1.130420,17.634045
8.750000,342.258191,11.839019,-1.258229,-1.004516,17.631748
9.000000,325.878855,11.839019,-1.220134,-0.932551,17.631748
9.250000,345.020917,11.826900,-1.304918,-0.871844,17.633771
9.500000,345.833784,11.826900,-1.368098,-1.209062,17.633771
9.750000,356.795088,11.827226,-1.203955,-1.034162,17.624580
10.000000,330.567129,11.827226,-1.295430,-0.703176,17.624580
10.250000,324.447088,11.827593,-1.233066,-1.111861,17.626895
10.500000,365.341290,11.827593,-1.264444,-1.044773,17.626895
10.750000,354.675435,11.815725,-1.342003,-1.051851,17.630992
11.000000,346.896003,11.815725,-1.244983,-1.122496,17.630992
11.250000,322.104416,11.814115,-1.288351,-1.049640,17.628458
11.500000,332.573495,11.808945,-1.289265,-1.065895,17.626407
11.750000,326.255404,11.808945,-1.296746,-0.790437,17.626407
12.000000,324.670932,11.796376,-1.243466,-1.137952,17.621734
12.250000,346.357831,11.796376,-1.281790,-1.103691,17.621734
12.500000,321.868986,11.787735,-1.193729,-0.901911,17.620107
12.750000,332.730260,11.787735,-1.319603,-0.912921,17.620107
13.000000,333.310187,11.779160,-1.252206,-1.311223,17.622646
13.250000,361.573750,11.779160,-1.290607,-1.047686,17.622646
13.500000,336.686166,11.776338,-1.243864,-1.012088,17.621896
13.750000,341.445024,11.776338,-1.362794,-1.125193,17.621896
14.000000,329.468937,11.774084,-1.277580,-0.776830,17.619768
14.250000,322.862716,11.774084,-1.316582,-1.035168,17.619768
14.500000,322.009338,11.770476,-1.288521,-1.164607,17.613687
14.750000,364.672365,11.768842,-1.339435,-1.287269,17.618734
15.000000,331.363561,11.768842,-1.307542,-0.856238,17.618734
15.250000,355.513421,11.762199,-1.349467,-1.120384,17.619413
15.500000,322.765020,11.762199,-1.396764,-0.986606,17.619413
15.750000,329.145866,11.759077,-1.344642,-1.175551,17.611067
16.000000,328.099688,11.759077,-1.276167,-1.138944,17.611067
16.250000,339.584999,11.764394,-1.344674,-1.170855,17.596031
16.500000,325.797015,11.764394,-1.286675,-1.037618,17.596031
16.750000,319.172280,11.758929,-1.310052,-1.020527,17.614933
17.000000,362.135695,11.758929,-1.375765,-1.020238,17.614933
17.250000,359.868648,11.760040,-1.324706,-1.218805,17.624064
17.500000,326.259839,11.760040,-1.395306,-1.058855,17.624064
17.750000,357.973868,11.756958,-1.276147,-1.008938,17.644418
18.000000,324.961072,11.756958,-1.367937,-1.057895,17.644418
18.250000,347.737893,11.759977,-1.349143,-0.745458,17.664819
18.500000,317.701956,11.762192,-1.204803,-1.094328,17.665860
18.750000,356.347439,11.762192,-1.289033,-1.152828,17.665860
19.000000,328.001039,11.757277,-1.150831,-1.003154,17.668000
19.250000,320.568475,11.757277,-1.362290,-1.086896,17.668000
19.500000,314.000497,11.751739,-1.319336,-0.979812,17.669836
19.750000,318.714518,11.751739,-1.258087,-0.836775,17.669836
20.000000,321.246436,11.742881,-1.317397,-1.047145,17.681429
20.250000,354.798652,11.742881,-1.303509,-1.138787,17.681429
20.500000,342.046005,11.737885,-1.293067,-1.162347,17.703173
20.750000,322.411639,11.737885,-1.259727,-1.004503,17.703173
21.000000,316.865147,11.737238,-1.242132,-1.233955,17.708593
21.250000,326.857470,11.737238,-1.330768,-0.829145,17.708593
21.500000,356.879977,11.732107,-1.375562,-1.334399,17.715438
21.750000,363.132929,11.730883,-1.368520,-0.740710,17.734519
22.000000,356.742053,11.730883,-1.303633,-1.053987,17.734519
22.250000,363.275840,11.734367,-1.287843,-1.275960,17.734387
22.500000,325.739531,11.734367,-1.315621,-0.879957,17.734387
22.750000,329.867435,11.730773,-1.338857,-1.084629,17.751292
23.000000,360.894115,11.730773,-1.251281,-0.982064,17.751292
23.250000,352.611899,11.729947,-1.225209,-1.088579,17.755134
23.500000,326.071450,11.729947,-1.299472,-1.032813,17.755134
23.750000,321.119637,11.730283,-1.342405,-0.996214,17.765776
24.000000,319.840080,11.730283,-1.282948,-1.103350,17.765776
24.250000,325.827976,11.730347,-1.302837,-0.723816,17.767209
24.500000,335.218940,11.730347,-1.241770,-1.102607,17.767209
24.750000,328.924827,11.728051,-1.381608,-0.854738,17.772725
25.000000,373.756093,11.728051,-1.318023,-0.846182,17.772725
25.250000,355.082113,11.722667,-1.264805,-1.190563,17.781329
25.500000,324.866500,11.712234,-1.335030,-0.979071,17.780311
25.750000,320.412264,11.712234,-1.323528,-1.162175,17.780311
26.000000,360.606721,11.700369,-1.348837,-0.984950,17.784409
26.250000,346.853389,11.700369,-1.375255,-1.139511,17.784409
26.500000,327.830785,11.700159,-1.344530,-0.972824,17.795885
26.750000,338.535973,11.700159,-1.292136,-0.908303,17.795885
27.000000,335.141702,11.693826,-1.307442,-1.057719,17.797663
27.250000,329.958137,11.693826,-1.397363,-0.872979,17.797663
27.500000,326.033799,11.700469,-1.357577,-1.109089,17.802679
27.750000,351.457818,11.700469,-1.344422,-1.185771,17.802679
28.000000,351.324053,11.695881,-1.424633,-1.000231,17.812950
28.250000,319.490944,11.695881,-1.394895,-0.888701,17.812950
28.500000,328.200640,11.694415,-1.229826,-1.064006,17.811387
28.750000,325.179018,11.690378,-1.276491,-1.051692,17.823720
29.000000,346.931105,11.690378,-1.338580,-1.135797,17.823720
29.250000,329.290379,11.692776,-1.318292,-1.075050,17.822695
29.500000,348.783979,11.692776,-1.335579,-0.825427,17.822695
29.750000,323.925983,11.697040,-1.361135,-1.193659,17.833229
30.000000,322.002858,11.697040,-1.205435,-0.979195,17.833229
30.250000,331.489423,11.695967,-1.223400,-0.999977,17.827469
30.500000,316.380606,11.695967,-1.367749,-1.113470,17.827469
