Time (sec), RPM, Q ind (psf), Axial Force (Lb), Roll Moment (Lb in), Temperature (C)
0.000000,359.871346,8.274490,-1.462123,-0.928781,17.676114
0.250000,356.593639,8.275325,-1.378895,-0.899944,17.667220
0.500000,300.827275,8.274791,-1.467095,-1.159691,17.662094
0.750000,327.877811,8.274791,-1.409637,-1.024917,17.662094
1.000000,332.324820,8.275991,-1.326416,-0.964235,17.660933
1.250000,371.060382,8.275991,-1.409486,-1.019164,17.660933
1.500000,338.104362,8.272762,-1.507571,-0.877468,17.658547
1.750000,335.701897,8.272762,-1.459154,-0.863536,17.658547
2.000000,335.582200,8.280591,-1.436617,-0.799095,17.651993
2.250000,371.911392,8.280591,-1.330954,-0.787369,17.651993
2.500000,336.530372,8.283824,-1.520268,-0.912946,17.662339
2.750000,335.479001,8.283824,-1.470928,-0.784736,17.662339
3.000000,330.845102,8.283024,-1.472442,-0.910121,17.676979
3.250000,372.211323,8.283024,-1.397922,-0.765229,17.676979
3.500000,340.638129,8.284480,-1.501414,-0.913623,17.676117
3.750000,369.310313,8.284186,-1.435374,-0.962554,17.663916
4.000000,362.294228,8.284186,-1.521265,-0.901941,17.663916
4.250000,333.213006,8.285055,-1.317995,-0.862325,17.666565
4.500000,341.756200,8.285055,-1.394037,-0.849501,17.666565
4.750000,374.385773,8.281700,-1.332922,-0.857594,17.655808
5.000000,326.020512,8.281700,-1.466880,-0.903810,17.655808
5.250000,339.059675,8.286951,-1.346584,-0.824493,17.656913
5.500000,344.844928,8.286951,-1.383376,-0.884628,17.656913
5.750000,348.956402,8.282014,-1.392998,-0.793834,17.657576
6.000000,356.506239,8.282014,-1.455095,-1.040236,17.657576
6.250000,351.560783,8.287697,-1.389586,-0.937341,17.653388
6.500000,371.071857,8.287697,-1.379133,-1.044240,17.653388
6.750000,347.773165,8.286925,-1.412726,-0.931179,17.647313
7.000000,330.473817,8.285648,-1.467483,-0.838948,17.645951
7.250000,356.752659,8.285648,-1.408105,-0.711387,17.645951
7.500000,330.651383,8.284013,-1.484018,-0.674588,17.642780
7.750000,339.028542,8.284013,-1.445316,-0.837512,17.642780
8.000000,345.130071,8.284976,-1.377329,-0.677987,17.634581
8.250000,356.689034,8.284976,-1.421886,-0.759665,17.634581
8.500000,339.311339,8.280669,-1.418588,-0.774248,17.628003
8.750000,356.220500,8.280669,-1.434328,-0.753429,17.628003
