Time (sec), RPM, Q ind (psf), Axial Force (Lb), Roll Moment (Lb in), Temperature (C)
0.000000,244.850488,12.382247,-1.450054,-0.638399,18.124967
0.250000,237.448615,12.383165,-1.471274,-0.721856,18.125622
0.500000,243.661007,12.383165,-1.401407,-0.550225,18.125622
0.750000,239.549647,12.384477,-1.437564,-0.762119,18.133909
1.000000,243.907396,12.384076,-1.456769,-0.690413,18.146981
1.250000,237.143605,12.384076,-1.392875,-0.688097,18.146981
1.500000,240.126066,12.381650,-1.427233,-0.626973,18.144182
1.750000,243.238724,12.381650,-1.418600,-0.787062,18.144182
2.000000,243.526260,12.389949,-1.448580,-0.644536,18.150052
2.250000,242.342238,12.389949,-1.435697,-0.666091,18.150052
2.500000,245.235784,12.385415,-1.448362,-0.628514,18.144663
2.750000,240.693196,12.385415,-1.417373,-0.746594,18.144663
3.000000,238.107049,12.386927,-1.456321,-0.688057,18.141612
3.250000,245.129331,12.386927,-1.442418,-0.767900,18.141612
3.500000,234.435669,12.383517,-1.436436,-0.700409,18.137413
3.750000,244.869225,12.383517,-1.423060,-0.623857,18.137413
4.000000,242.116095,12.381673,-1.462472,-0.752682,18.128328
4.250000,247.388250,12.382807,-1.454250,-0.606456,18.113327
4.500000,241.809947,12.382807,-1.451523,-0.726657,18.113327
4.750000,238.908190,12.378559,-1.428120,-0.674359,18.098845
5.000000,239.908835,12.378559,-1.457731,-0.746405,18.098845
5.250000,244.793048,12.388950,-1.447637,-0.693431,18.086988
5.500000,246.251084,12.388950,-1.435266,-0.777065,18.086988
5.750000,226.483467,12.392978,-1.456815,-0.654907,18.074192
6.000000,241.009831,12.392978,-1.465654,-0.771772,18.074192
6.250000,240.402674,12.393308,-1.459322,-0.594584,18.066731
6.500000,233.860006,12.393308,-1.453862,-0.882141,18.066731
6.750000,236.999585,12.404841,-1.469491,-0.720968,18.056408
7.000000,238.775084,12.404841,-1.433434,-0.784475,18.056408
7.250000,245.452732,12.400103,-1.437272,-0.647205,18.063846
7.500000,243.434866,12.400103,-1.456138,-0.799365,18.063846
7.750000,245.388737,12.404887,-1.428496,-0.658036,18.066963
8.000000,242.892854,12.412222,-1.450835,-0.798332,18.065302
8.250000,243.363281,12.412222,-1.440403,-0.798624,18.065302
8.500000,240.861078,12.399703,-1.477957,-0.618357,18.061484
8.750000,239.809352,12.399703,-1.447197,-0.845341,18.061484
9.000000,241.156345,12.404324,-1.402722,-0.664561,18.059207
9.250000,244.018993,12.404324,-1.414961,-0.706037,18.059207
9.500000,238.354164,12.399846,-1.403538,-0.649909,18.050981
9.750000,240.907015,12.399846,-1.459610,-0.755845,18.050981
10.000000,236.229773,12.401935,-1.447877,-0.706269,18.050214
10.250000,249.802240,12.401935,-1.457606,-0.686590,18.050214
10.500000,240.607534,12.395749,-1.461060,-0.594214,18.045902
10.750000,240.573768,12.395749,-1.451396,-0.655470,18.045902
11.000000,240.795830,12.396550,-1.446918,-0.685958,18.051272
11.250000,239.744672,12.390239,-1.462049,-0.659943,18.054055
11.500000,238.855880,12.390239,-1.460383,-0.729533,18.054055
11.750000,242.643602,12.392089,-1.426495,-0.637745,18.067386
12.000000,239.432545,12.392089,-1.433241,-0.643425,18.067386
12.250000,245.856297,12.389445,-1.450822,-0.609376,18.078740
12.500000,241.991591,12.389445,-1.459553,-0.922809,18.078740
12.750000,238.478507,12.391282,-1.420240,-0.723942,18.084751
13.000000,245.973466,12.391282,-1.459164,-0.721979,18.084751
13.250000,240.306391,12.392737,-1.439858,-0.623343,18.095321
13.500000,250.836120,12.392737,-1.444433,-0.577597,18.095321
13.750000,237.966576,12.392747,-1.449040,-0.524507,18.105441
14.000000,245.790832,12.392747,-1.433782,-0.665064,18.105441
14.250000,240.503856,12.394225,-1.452385,-0.569275,18.127572
14.500000,241.430476,12.394225,-1.456224,-0.717740,18.127572
14.750000,237.051085,12.402871,-1.452438,-0.668144,18.153939
15.000000,253.952130,12.403129,-1.450806,-0.768315,18.162993
15.250000,240.836908,12.403129,-1.446619,-0.601576,18.162993
15.500000,242.789653,12.397948,-1.454807,-0.853037,18.161646
15.750000,239.609437,12.397948,-1.445518,-0.765933,18.161646
16.000000,237.849837,12.403975,-1.442037,-0.595398,18.163351
16.250000,214.925694,12.403975,-1.439714,-0.744790,18.163351
16.500000,239.197492,12.398410,-1.445478,-0.495755,18.165237
16.750000,236.906008,12.398410,-1.408780,-0.731462,18.165237
17.000000,242.994912,12.394276,-1.463195,-0.604578,18.155330
17.250000,242.418121,12.394276,-1.477786,-0.716480,18.155330
17.500000,243.076128,12.399333,-1.427675,-0.681315,18.166602
17.750000,239.848895,12.399333,-1.475204,-0.638201,18.166602
18.000000,239.978402,12.396451,-1.456781,-0.758670,18.165901
18.250000,238.828546,12.396451,-1.458280,-0.741964,18.165901
18.500000,241.728358,12.394879,-1.438439,-0.732827,18.171384
18.750000,239.288118,12.402869,-1.439496,-0.671631,18.162120
19.000000,230.728188,12.402869,-1.439632,-0.838473,18.162120
19.250000,239.662076,12.404053,-1.434252,-0.642541,18.157382
19.500000,237.682595,12.404053,-1.417181,-0.812281,18.157382
19.750000,237.521464,12.401491,-1.439213,-0.666584,18.163545
20.000000,240.776504,12.401491,-1.449214,-0.760432,18.163545
20.250000,243.489200,12.396831,-1.425401,-0.662915,18.174996
20.500000,234.785416,12.396831,-1.452670,-0.792078,18.174996
20.750000,237.056938,12.392962,-1.443869,-0.743919,18.178977
21.000000,243.558388,12.392962,-1.419693,-0.694394,18.178977
21.250000,238.995026,12.398063,-1.464049,-0.697924,18.180797
21.500000,233.950052,12.398063,-1.423295,-0.842628,18.180797
21.750000,240.995311,12.405434,-1.462351,-0.725341,18.180434
22.000000,239.899242,12.405434,-1.419150,-0.757146,18.180434
22.250000,229.542064,12.407226,-1.433382,-0.646284,18.180886
22.500000,254.760843,12.408039,-1.466388,-0.669417,18.173729
22.750000,243.492906,12.408039,-1.420253,-0.607383,18.173729
23.000000,238.524725,12.405635,-1.446218,-0.789148,18.170988
23.250000,238.479692,12.405635,-1.452943,-0.558847,18.170988
23.500000,242.581063,12.408939,-1.476671,-0.690179,18.179974
23.750000,240.809119,12.408939,-1.457171,-0.851120,18.179974
24.000000,239.640539,12.400400,-1.455322,-0.685176,18.178176
24.250000,236.246050,12.400400,-1.463220,-0.691531,18.178176
24.500000,239.826126,12.396278,-1.424687,-0.675689,18.161116
24.750000,241.001361,12.396278,-1.473355,-0.677015,18.161116
25.000000,238.387310,12.394574,-1.423672,-0.721126,18.161128
25.250000,238.146033,12.394574,-1.472782,-0.554564,18.161128
25.500000,238.111774,12.386612,-1.454015,-0.633213,18.177302
