Time (sec), RPM, Q ind (psf), Axial Force (Lb), Roll Moment (Lb in), Temperature (C)
0.000000,581.388307,12.474002,-2.033288,-1.046281,18.201358
0.250000,582.326394,12.474002,-1.889116,-1.163322,18.201358
0.500000,528.657650,12.482992,-2.184556,-1.036077,18.199374
0.750000,570.166061,12.482992,-1.967560,-1.149191,18.199374
1.000000,481.550593,12.485207,-2.120538,-1.242920,18.192248
1.250000,567.832300,12.485207,-2.057037,-1.294855,18.192248
1.500000,564.029047,12.486333,-1.851107,-1.418340,18.188719
1.750000,530.574347,12.486333,-2.000491,-1.289156,18.188719
2.000000,508.873481,12.493780,-1.933967,-1.196457,18.178630
2.250000,487.359123,12.493780,-2.073103,-1.474789,18.178630
2.500000,549.167668,12.484757,-1.952120,-1.166541,18.176256
2.750000,588.422782,12.481352,-1.919842,-1.271424,18.180697
3.000000,590.565713,12.481352,-2.118008,-1.062990,18.180697
3.250000,578.438698,12.483759,-2.047551,-1.316110,18.174187
3.500000,557.368293,12.483759,-2.113642,-0.974126,18.174187
3.750000,548.659214,12.479196,-1.917133,-1.080093,18.183040
4.000000,553.709856,12.479196,-1.973994,-1.429098,18.183040
4.250000,597.118901,12.485797,-2.045366,-1.330444,18.186422
4.500000,503.408495,12.485797,-2.088616,-1.308614,18.186422
4.750000,531.926683,12.487007,-2.019840,-1.280537,18.195259
5.000000,581.437604,12.487007,-2.067172,-1.275183,18.195259
5.250000,546.292608,12.488688,-1.979726,-1.389004,18.188649
5.500000,579.458207,12.488688,-2.038571,-1.366303,18.188649
5.750000,607.325868,12.485730,-2.047888,-1.313364,18.187557
6.000000,588.884799,12.486185,-2.058338,-1.171126,18.187744
6.250000,480.629625,12.486185,-2.068251,-1.206198,18.187744
6.500000,525.451560,12.491821,-1.999314,-1.394803,18.183893
6.750000,482.092280,12.491821,-1.972378,-1.240502,18.183893
7.000000,539.538021,12.495468,-1.934982,-1.733463,18.188736
7.250000,484.716289,12.495468,-2.058310,-1.371807,18.188736
7.500000,476.999672,12.506872,-1.985884,-1.136197,18.175561
7.750000,549.155102,12.506872,-1.990466,-1.379434,18.175561
8.000000,535.750162,12.508132,-1.983825,-1.343170,18.168188
8.250000,615.266295,12.508132,-2.027698,-1.368972,18.168188
8.500000,505.784915,12.509208,-2.109052,-0.970371,18.168002
8.750000,500.949717,12.509208,-1.963991,-1.358694,18.168002
