'CODE,TP,AlphaENC,Psi,QNOM,QA,LIFTR_o,DRAGR_o,PMR_o,YMR_o,RMR_o,SFR_o,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PRESSTS,TEMPTS,Fouling,Time
0,1,-4.008,-0.01,35,34.736,-73.4141,6.879,-75.7828,-0.3472,7.4846,0.3555,-73.474,6.882,-75.7,-0.462,7.067,0.362,14.69,64.022,0,28:24.7
0,2,-2.008,-0.01,35,34.829,-24.892,5.944,-59.5445,-0.0098,3.0932,0.3484,-24.914,5.953,-59.475,-0.114,4.626,0.353,14.69,64.107,0,28:37.2
0,3,-0.008,-0.01,35,34.83,23.9683,5.8018,-45.3922,-1.1626,19.6579,0.6892,23.986,5.813,-45.372,-1.257,20.374,0.695,14.691,64.128,0,28:49.8
0,4,2.002,-0.01,35,34.818,74.5816,6.4887,-34.4301,-1.8398,22.7262,0.6747,74.601,6.497,-34.352,-1.937,23.827,0.679,14.691,64.166,0,29:02.5
0,5,4.018,-0.01,35,34.947,126.856,8.0227,-26.9162,-1.3234,24.703,-0.1816,126.849,8.023,-26.903,-1.481,23.071,-0.177,14.692,64.189,0,29:15.2
0,6,6.023,-0.01,35,34.986,177.9801,10.3921,-23.3181,-3.259,11.2989,-1.5325,177.994,10.394,-23.27,-3.383,11.413,-1.518,14.692,64.234,0,29:27.9
0,7,7.951,-0.01,35,34.908,226.6055,13.2761,-22.2369,-4.2818,20.6104,-2.6797,226.578,13.265,-22.122,-4.419,20.352,-2.666,14.693,64.279,0,29:40.6
0,8,10.054,-0.01,35,34.959,278.756,17.285,-23.0191,-8.1964,20.1991,-1.1207,278.707,17.286,-23.011,-8.272,20.592,-1.112,14.693,64.333,0,29:53.4
0,9,10.944,-0.01,35,34.829,299.8033,19.1361,-24.8784,-5.7373,33.6232,-3.5825,299.762,19.125,-24.824,-5.81,33.884,-3.581,14.693,64.372,0,30:05.3
0,10,12.019,-0.01,35,34.733,323.5363,21.6207,-25.0041,-7.1251,35.6897,-2.4995,323.492,21.621,-24.869,-7.205,36.129,-2.494,14.693,64.398,0,30:17.3
0,11,12.998,-0.01,35,34.622,343.7672,24.0187,-24.966,-9.9893,28.6268,-2.2921,343.718,24.031,-24.997,-10.043,29.655,-2.286,14.693,64.441,0,30:29.3
0,12,14.045,-0.01,35,34.6,364.9701,26.8807,-24.7402,-8.6137,39.9511,-2.7005,364.963,26.875,-24.718,-8.798,40.378,-2.688,14.693,64.488,0,30:41.3
0,13,14.929,-0.01,35,34.905,384.7118,29.6452,-24.6118,-7.0945,54.7739,-2.9268,384.697,29.64,-24.546,-7.184,54.948,-2.918,14.693,64.525,0,30:53.1
0,14,16.067,-0.01,35,34.728,357.3377,41.0538,-136.0562,-3.0241,74.8759,-2.805,357.273,41.041,-135.976,-3.221,74.411,-2.795,14.694,64.578,0,31:05.3
0,15,16.949,-0.01,35,34.741,355.2741,45.9569,-162.8727,1.1614,121.5722,-2.6939,355.274,45.945,-162.783,0.18,113.695,-2.69,14.694,64.624,0,31:17.3
0,16,18.006,-0.01,35,34.813,348.5797,52.792,-209.2127,-4.7599,80.7527,-2.5876,348.228,52.803,-209.741,-5.273,81.265,-2.577,14.695,64.684,0,31:29.4
0,17,19.023,-0.01,35,34.575,328.1293,59.3432,-265.1271,-9.4006,-12.1857,-2.467,327.722,59.352,-265.605,-9.345,-11.29,-2.47,14.695,64.723,0,31:41.4
0,18,19.969,-0.01,35,34.629,314.2681,65.0639,-303.5142,-5.488,30.6355,-2.1492,314.541,65.108,-303.877,-5.564,29.728,-2.139,14.695,64.737,0,31:53.6
0,19,18.944,-0.01,35,35.187,335.9133,60.0199,-265.8973,-13.13,-55.1987,-2.4077,335.995,60.029,-265.677,-13.299,-57.581,-2.398,14.695,64.825,0,32:05.6
0,20,18.03,-0.01,35,35.379,350.5106,54.2927,-222.7845,-18.0302,-28.8181,-2.4912,350.719,54.29,-222.485,-16.577,-15.834,-2.486,14.695,64.854,0,32:17.6
0,21,17.024,-0.01,35,35.066,359.3576,46.8452,-165.2296,8.6879,196.1892,-2.5864,359.225,46.835,-164.993,9.783,206.712,-2.57,14.695,64.906,0,32:29.6
0,22,15.957,-0.01,35,35.264,404.3214,33.211,-25.9541,-8.5545,57.3817,-2.8967,404.204,33.204,-26.067,-8.633,58.648,-2.891,14.694,64.918,0,32:41.7
0,23,15.038,-0.01,35,35.235,390.4447,30.3178,-24.3832,-8.331,45.8388,-2.8547,390.283,30.318,-24.439,-8.385,46.096,-2.85,14.694,64.945,0,32:53.8
0,24,13.978,-0.01,35,35.061,368.7713,27.0448,-24.6322,-8.5452,43.1808,-2.7248,368.792,27.055,-24.665,-8.506,43.975,-2.722,14.693,64.975,0,33:05.8
0,25,13.024,-0.01,35,35.181,350.319,24.5179,-24.999,-8.4827,40.4759,-2.2732,350.277,24.525,-25.009,-8.515,40.043,-2.263,14.693,65.001,0,33:17.8
0,26,11.944,-0.01,35,35.301,327.4988,21.8009,-24.6415,-8.2115,30.6271,-2.3787,327.387,21.812,-24.714,-8.083,31.231,-2.372,14.693,65.033,0,33:29.9
0,27,11.012,-0.01,35,35.456,306.5842,19.7002,-24.8195,-5.1882,32.4804,-3.9086,306.557,19.725,-24.849,-5.071,33.361,-3.902,14.693,65.05,0,33:41.9
0,28,9.985,-0.01,35,35.549,282.4166,17.4357,-22.6973,-8.4844,19.5867,-1.054,282.327,17.462,-22.761,-8.581,19.618,-1.047,14.693,65.093,0,33:54.0
0,29,9.019,-0.01,35,35.156,254.8833,15.2973,-21.7964,-4.644,17.6541,-3.3062,254.722,15.323,-21.718,-4.731,16.815,-3.304,14.692,65.108,0,34:06.1
0,30,8.016,-0.01,35,34.949,228.912,13.4083,-21.4658,-4.9247,13.4893,-2.8541,228.899,13.437,-21.557,-4.788,15.05,-2.846,14.691,65.117,0,34:18.1
0,31,6.005,-0.01,35,34.964,178.094,10.3604,-22.8294,-3.0657,19.4298,-1.7178,177.971,10.389,-22.909,-3.102,19.281,-1.723,14.691,65.15,0,34:30.9
0,32,4.04,-0.01,35,34.918,127.6048,8.0684,-26.4322,-1.9067,16.9595,-0.3153,127.543,8.081,-26.391,-1.942,16.957,-0.311,14.691,65.179,0,34:43.8
0,33,1.961,-0.01,35,34.774,74.1842,6.4708,-34.0095,-2.2898,16.5243,0.6764,74.157,6.488,-34.047,-2.252,17.183,0.681,14.69,65.186,0,34:56.6
0,34,0.027,-0.01,35,34.905,25.1731,5.8338,-44.9745,-1.5477,25.0337,0.6937,25.195,5.856,-45.009,-1.516,26.139,0.698,14.689,65.22,0,35:09.3
6,35,0.017,-0.01,10,0.521,0.1304,0.1281,-0.4465,0.0543,1.6084,-0.0046,0.116,0.138,-0.54,0.024,1.886,0.002,14.682,64.735,0,36:18.7
