'CODE,TP,AlphaENC,Psi,QNOM,QA,LIFTR_o,DRAGR_o,PMR_o,YMR_o,RMR_o,SFR_o,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PRESSTS,TEMPTS,Fouling,Time
0,1,-4.006,0,10,9.979,-21.7133,3.125,-25.5048,1.6118,-5.0068,-0.619,-21.757,3.141,-25.537,1.75,-3.275,-0.642,14.693,64.256,0,29:11.6
0,2,-1.998,0,10,9.985,-7.2929,2.8787,-20.4726,1.7354,-3.0748,-0.5519,-7.319,2.891,-20.396,1.89,-1.784,-0.555,14.693,63.915,0,29:24.2
0,3,0.008,0,10,10.019,8.1871,2.8398,-16.8824,1.7472,-7.5762,-0.4205,8.204,2.854,-16.893,1.895,-6.245,-0.419,14.693,63.766,0,29:36.8
0,4,2.026,0,10,10.026,24.1856,3.0216,-15.5919,1.7778,-5.8782,-0.0746,24.192,3.03,-15.542,1.924,-4.334,-0.089,14.693,63.651,0,29:49.4
0,5,3.953,0,10,10.026,39.4581,3.3296,-14.1801,1.6603,-2.7835,-0.3352,39.452,3.344,-14.095,1.834,-1.044,-0.335,14.693,63.589,0,30:02.1
0,6,6.046,0,10,10.006,55.9571,3.8586,-13.7948,1.2944,-4.1265,-0.4201,55.949,3.866,-13.633,1.453,-2.621,-0.419,14.694,63.524,0,30:14.9
0,7,7.989,0,10,9.983,71.4955,4.5819,-15.9369,2.4574,-12.2494,-0.3487,71.48,4.589,-15.789,2.57,-10.849,-0.356,14.693,63.477,0,30:27.5
0,8,9.998,0,10,9.928,86.159,5.4387,-15.4936,2.3701,2.6884,-0.339,86.147,5.452,-15.352,2.488,4.507,-0.342,14.694,63.465,0,30:40.2
0,9,11.006,0,10,9.974,93.2896,5.9892,-14.7012,2.2008,4.9306,-0.2677,93.291,6,-14.543,2.252,6.588,-0.28,14.693,63.408,0,30:52.2
0,10,11.944,0,10,9.944,99.3243,6.4866,-13.4433,2.1095,5.1622,-0.2827,99.301,6.498,-13.374,2.172,6.704,-0.292,14.693,63.399,0,31:04.1
0,11,13.008,0,10,9.943,105.531,7.1141,-11.6104,2.1029,6.0844,-0.124,105.488,7.124,-11.536,2.264,7.885,-0.136,14.694,63.392,0,31:16.1
0,12,14.018,0,10,9.948,110.3864,7.7815,-9.4608,1.9157,4.972,-0.1429,110.394,7.796,-9.29,2.041,6.785,-0.148,14.694,63.386,0,31:28.0
0,13,15.009,0,10,10.011,114.0739,8.6368,-9.5535,2.694,7.0688,-0.1238,114.071,8.652,-9.54,2.813,8.774,-0.131,14.693,63.374,0,31:39.9
0,14,15.993,0,10,9.988,108.6817,11.4503,-39.0274,5.8287,26.8402,-0.0558,108.676,11.456,-38.994,5.949,28.293,-0.074,14.694,63.364,0,31:51.8
0,15,17.037,0,10,9.94,103.4941,13.7721,-62.0377,2.9947,11.9004,-0.1276,103.446,13.78,-62.098,3.262,14.688,-0.128,14.694,63.342,0,32:04.0
0,16,17.958,0,10,9.883,99.7057,15.3279,-74.3213,1.7892,10.3851,-0.0634,99.665,15.325,-74.324,2.014,13.028,-0.071,14.694,63.325,0,32:15.9
0,17,19.034,0,10,9.827,92.5695,17.1858,-91.3112,0.8599,-4.9531,0.1092,92.602,17.188,-91.29,0.927,-3.889,0.101,14.694,63.323,0,32:35.3
0,18,19.982,0,10,10.087,91.6287,19.128,-103.1799,1.037,-6.8442,0.0211,91.585,19.131,-103.17,1.077,-5.451,0.011,14.694,63.311,0,32:47.7
0,19,18.992,0,10,10.046,94.5401,17.5238,-92.4662,1.4719,-14.5684,-0.0129,94.589,17.529,-92.337,1.559,-11.806,-0.01,14.694,63.291,0,32:59.6
0,20,18.011,0,10,10.119,100.2885,15.9665,-80.0157,-0.3386,-17.2787,-0.1143,100.272,15.975,-79.994,-0.713,-20.581,-0.13,14.693,63.301,0,33:11.5
0,21,16.95,0,10,10.147,106.7928,13.7517,-58.6362,0.6609,-3.1505,0.022,106.707,13.768,-58.838,0.897,-0.337,0.015,14.693,63.273,0,33:23.5
0,22,16.028,0,10,10.125,110.2839,11.7746,-40.475,1.2973,3.3288,-0.1542,110.227,11.788,-40.492,1.021,3.037,-0.165,14.693,63.268,0,33:35.4
0,23,14.996,0,10,10.077,114.1854,8.9166,-13.5861,3.5842,12.7852,-0.1345,114.262,8.896,-13.021,3.55,13.722,-0.134,14.693,63.276,0,33:47.3
0,24,14,0,10,10.128,112.5027,7.9045,-9.4288,1.7248,6.1312,-0.1673,112.488,7.917,-9.383,1.853,7.518,-0.184,14.692,63.282,0,33:59.2
0,25,13.035,0,10,10.076,107.1547,7.2378,-11.3832,1.6097,4.0851,-0.1476,107.141,7.243,-11.406,1.756,5.583,-0.165,14.693,63.255,0,34:11.1
0,26,11.941,0,10,10.027,100.1781,6.5396,-13.4247,1.8276,3.749,-0.154,100.156,6.554,-13.354,1.965,5.444,-0.158,14.693,63.248,0,34:23.1
0,27,10.998,0,10,10.047,93.9423,6.0326,-14.5593,1.3038,-0.5039,-0.2834,93.959,6.042,-14.478,1.534,1.382,-0.291,14.693,63.245,0,34:35.0
0,28,10.021,0,10,10.025,87.2126,5.5123,-15.4533,2.149,3.872,-0.3367,87.19,5.528,-15.387,2.348,5.498,-0.353,14.692,63.229,0,34:46.9
