'CODE,TP,AlphaENC,Psi,QNOM,QA,LIFTR_o,DRAGR_o,PMR_o,YMR_o,RMR_o,SFR_o,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PRESSTS,TEMPTS,Fouling,Time
1,1,0.016,0,10,0.003,0,0,0,0,0,0,0.176,0.026,-0.893,-0.541,-0.454,-0.002,14.686,67.403,0,18:24.9
4,2,-4.217,-10.02,10,0.002,-0.0037,0.0009,-10.4535,-0.0575,73.2223,-0.0071,0.006,0.009,-10.323,-0.03,73.422,-0.002,14.686,67.317,0,18:44.4
5,3,20.179,-10.02,10,0.002,0.003,0.0005,-23.6478,-0.1542,70.9477,-0.0072,0.007,0.009,-23.467,0.008,71.115,-0.001,14.686,67.245,0,19:09.2
5,4,20.179,10.03,10,0.002,0.0069,-0.0008,-22.0954,-0.0147,-71.3057,-0.0078,0.009,0.009,-21.994,0.003,-71.143,-0.001,14.685,67.146,0,19:35.1
6,5,0.011,-0.01,10,0.002,0.001,0,-0.0811,-0.0253,-0.2166,-0.0067,0.003,0.02,-0.026,0.055,-0.03,-0.001,14.685,67.058,0,20:03.0
