RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
7,2335,1,0.15309,1346999,34.644,34.822,-4.017,-4.161,0.00000,0.000,65.687,14.740,-81.955,8.7750,-62.173,11.511,-27.524,-0.03000,-3.0623,0.00000,-0.20159,0.02064,-0.01937,0.00042,-0.00064,-0.00018
7,2335,2,0.15450,1359174,35.294,35.466,-2.009,-2.053,0.00000,0.000,65.769,14.741,-28.502,7.9510,-54.499,11.235,-22.009,-0.47300,-1.2501,0.00000,-0.03754,0.01810,-0.01747,0.00041,-0.00063,-0.00143
7,2335,3,0.15367,1352093,34.930,35.093,-0.026,0.031,0.00000,0.000,65.769,14.743,27.058,7.7240,-48.620,10.982,-2.9230,0.04400,-0.01257,0.00000,0.13015,0.01834,-0.01628,0.00041,-0.00019,0.00020
7,2335,4,0.15413,1355977,35.147,35.303,2.051,2.215,0.00000,0.000,65.815,14.743,85.644,8.4590,-45.764,10.437,10.557,0.06100,0.69358,0.00000,0.30586,0.02131,-0.01518,0.00039,0.00005,0.00034
7,2335,5,0.15401,1354979,35.108,35.253,3.992,4.257,0.00000,0.000,65.839,14.744,141.122,9.76000,-43.016,10.246,7.9650,-0.55800,0.80702,0.00000,0.47354,0.02674,-0.01416,0.00039,-0.00023,-0.00144
7,2335,6,0.15379,1352881,35.019,35.150,6.008,6.377,0.00000,0.000,65.877,14.744,197.341,11.794,-40.702,8.4810,-4.3380,-1.4270,0.36573,0.00000,0.64489,0.03508,-0.01314,0.00034,-0.00084,-0.00399
7,2335,7,0.15372,1352132,35.002,35.119,7.955,8.423,0.00000,0.000,65.923,14.744,251.158,14.445,-39.032,7.2960,4.8050,-2.9390,-0.60077,0.00000,0.80835,0.04543,-0.01203,0.00031,-0.00072,-0.00849
7,2335,8,0.15376,1352391,35.036,35.139,10.024,10.593,0.00000,0.000,65.976,14.745,306.256,17.935,-37.044,6.8350,14.927,-2.3940,-2.2084,0.00000,0.97470,0.05889,-0.01078,0.00031,-0.00058,-0.00673
7,2335,9,0.15382,1352793,35.074,35.168,10.981,11.596,0.00000,0.000,66.024,14.745,331.446,19.661,-35.611,5.1420,15.975,-3.1160,-3.1538,0.00000,1.0501,0.06557,-0.01004,0.00025,-0.00063,-0.00887
7,2335,10,0.15370,1351535,35.019,35.110,12.026,12.688,0.00000,0.000,66.064,14.745,356.466,21.817,-32.918,5.4070,24.543,-3.3400,-4.3315,0.00000,1.1276,0.07387,-0.00903,0.00027,-0.00044,-0.00952
7,2335,11,0.15382,1352469,35.074,35.165,12.976,13.678,0.00000,0.000,66.102,14.745,378.727,23.969,-29.517,5.1370,33.351,-3.2230,-5.5335,0.00000,1.1933,0.08179,-0.00789,0.00026,-0.00022,-0.00911
7,2335,12,0.15369,1351201,35.011,35.107,13.991,14.732,0.00000,0.000,66.151,14.745,399.614,26.415,-24.937,5.5880,48.151,-3.2350,-6.9556,0.00000,1.2585,0.09092,-0.00650,0.00028,0.00020,-0.00912
7,2335,13,0.15344,1348864,34.885,34.991,15.001,15.777,0.00000,0.000,66.181,14.745,417.261,28.864,-20.361,4.5350,58.230,-3.3840,-8.5116,0.00000,1.3163,0.10011,-0.00514,0.00025,0.00048,-0.00956
7,2335,14,0.15392,1353122,34.782,35.216,16.019,16.730,0.00000,0.000,66.217,14.746,384.179,40.456,-132.098,-0.31300,-11.428,-3.2660,-10.222,0.00000,1.2085,0.13173,-0.02798,0.00010,-0.00174,-0.00913
7,2335,15,0.15463,1359128,34.922,35.539,17.010,17.698,0.00000,0.000,66.275,14.746,375.254,47.862,-187.173,-10.736,-96.558,-3.3540,-12.023,0.00000,1.1712,0.15184,-0.03875,-0.00023,-0.00451,-0.00928
7,2335,16,0.15508,1363102,34.918,35.752,17.994,18.630,0.00000,0.000,66.312,14.747,348.583,55.145,-249.802,-0.54300,-27.544,-3.4620,-13.944,0.00000,1.0853,0.17066,-0.05088,0.00011,-0.00213,-0.00956
7,2335,17,0.15456,1358524,34.516,35.513,19.005,19.603,0.00000,0.000,66.334,14.748,324.911,60.617,-288.015,8.8830,11.390,-2.6940,-16.054,0.00000,1.0218,0.18677,-0.05877,0.00043,-0.00078,-0.00733
7,2335,18,0.15639,1374558,35.202,36.359,19.989,20.560,0.00000,0.000,66.349,14.748,317.594,66.971,-321.499,13.260,50.236,-2.3430,-18.240,0.00000,0.97728,0.20022,-0.06366,0.00057,0.00051,-0.00611
7,2335,19,0.15648,1375055,35.374,36.400,19.034,19.629,0.00000,0.000,66.433,14.748,331.593,62.171,-295.148,7.0490,15.475,-2.7240,-16.116,0.00000,1.0169,0.18679,-0.05865,0.00036,-0.00065,-0.00722
7,2335,20,0.15636,1373824,35.502,36.347,18.001,18.640,0.00000,0.000,66.499,14.748,355.983,56.075,-251.821,-9.80500,-137.716,-3.2690,-13.958,0.00000,1.0894,0.17078,-0.05056,-0.00019,-0.00568,-0.00881
7,2335,21,0.15526,1363932,35.215,35.835,16.990,17.677,0.00000,0.000,66.539,14.747,377.579,48.039,-183.852,2.1930,-3.1860,-3.2310,-11.985,0.00000,1.1686,0.15113,-0.03760,0.00019,-0.00142,-0.00884
7,2335,22,0.15530,1364134,35.403,35.851,16.034,16.744,0.00000,0.000,66.573,14.747,390.900,41.438,-136.724,7.0820,53.439,-3.1300,-10.248,0.00000,1.2074,0.13245,-0.02822,0.00035,0.00039,-0.00855
7,2335,23,0.15472,1358852,35.472,35.581,14.940,15.714,0.00000,0.000,66.596,14.746,423.461,29.273,-20.678,3.1690,49.375,-3.2570,-8.4137,0.00000,1.3133,0.09980,-0.00508,0.00021,0.00015,-0.00901
7,2335,24,0.15435,1355476,35.313,35.410,14.054,14.798,0.00000,0.000,66.616,14.745,404.943,26.822,-24.611,5.5830,47.018,-3.1250,-7.0485,0.00000,1.2639,0.09159,-0.00631,0.00028,0.00014,-0.00870
7,2335,25,0.15396,1352077,35.138,35.231,12.985,13.687,0.00000,0.000,66.624,14.746,379.611,24.145,-29.502,6.2490,39.245,-3.4780,-5.5455,0.00000,1.1937,0.08220,-0.00785,0.00030,-0.00003,-0.00986
7,2335,26,0.15382,1350651,35.074,35.165,11.984,12.645,0.00000,0.000,66.657,14.745,356.363,21.804,-32.965,5.7280,29.701,-3.1280,-4.2812,0.00000,1.1256,0.07368,-0.00904,0.00028,-0.00026,-0.00886
