RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
11,2335,1,0.15256,1342116,34.435,34.571,-3.974,-4.121,-0.01000,0.010,65.638,14.736,-72.353,6.8790,-74.361,1.8820,-2.6360,0.75100,-2.8948,0.07283,-0.20732,0.01500,-0.01404,0.00007,0.00018,0.00223
11,2335,2,0.15352,1350528,34.882,35.011,-1.981,-2.039,-0.01000,0.010,65.678,14.737,-24.861,5.9700,-58.738,1.9460,-7.9170,0.68000,-1.1912,0.07313,-0.06041,0.01237,-0.01075,0.00007,-0.00017,0.00205
11,2335,3,0.15370,1352033,34.970,35.094,0.027,0.060,-0.01000,0.010,65.726,14.738,24.550,5.8320,-44.136,1.2680,8.6390,0.49100,0.01263,0.07334,0.08938,0.01242,-0.00761,0.00005,0.00021,0.00154
11,2335,4,0.15369,1351854,34.964,35.088,2.014,2.139,-0.01000,0.010,65.745,14.738,74.923,6.5250,-33.779,1.6070,13.381,-0.19700,0.69588,0.07346,0.24195,0.01520,-0.00518,0.00007,0.00020,-0.00047
11,2335,5,0.15376,1352407,34.997,35.124,3.951,4.167,-0.01000,0.010,65.799,14.739,124.810,7.9690,-26.457,0.41900,10.197,0.06700,0.87475,0.07349,0.39272,0.02062,-0.00330,0.00003,-0.00009,0.00041
11,2335,6,0.15414,1355582,35.165,35.297,6.051,6.366,-0.01000,0.010,65.846,14.739,179.288,10.365,-21.854,0.19700,22.406,-0.72700,0.52506,0.07343,0.55496,0.02948,-0.00178,0.00003,0.00013,-0.00190
11,2335,7,0.15431,1357057,35.241,35.380,7.985,8.390,-0.01000,0.010,65.897,14.740,229.207,13.334,-20.180,-0.73500,11.303,-2.7980,-0.29686,0.07328,0.70367,0.04022,-0.00079,0.00001,-0.00042,-0.00805
11,2335,8,0.15411,1355101,35.135,35.286,9.999,10.496,-0.01000,0.010,65.940,14.740,278.868,17.149,-20.540,-1.2050,17.745,-2.8990,-1.6612,0.07304,0.85522,0.05412,-0.00014,0.00001,-0.00038,-0.00828
11,2335,9,0.15391,1353289,35.039,35.197,10.967,11.506,-0.01000,0.010,65.974,14.740,301.264,19.207,-21.983,-2.1840,8.6080,-3.8780,-2.5011,0.07290,0.92500,0.06167,-0.00006,-0.00002,-0.00076,-0.01122
11,2335,10,0.15368,1351098,34.921,35.091,12.035,12.618,-0.01000,0.010,66.015,14.740,324.557,21.650,-22.341,-2.6570,5.2640,-3.7810,-3.5660,0.07271,0.99841,0.07064,0.00027,-0.00003,-0.00096,-0.01092
11,2335,11,0.15371,1351250,34.925,35.106,12.966,13.587,-0.01000,0.010,66.059,14.740,345.138,23.963,-22.112,-2.6590,7.7440,-3.6320,-4.6124,0.07253,1.0604,0.07888,0.00070,-0.00003,-0.00095,-0.01042
11,2335,12,0.15336,1348119,34.747,34.947,14.057,14.719,-0.01000,0.010,66.091,14.741,365.750,26.806,-21.644,-0.82800,23.686,-3.8490,-5.9783,0.07229,1.1279,0.08932,0.00125,0.00004,-0.00050,-0.01108
11,2335,13,0.15359,1349960,34.830,35.051,14.978,15.672,-0.01000,0.010,66.143,14.741,384.003,29.528,-21.416,-0.70600,29.218,-3.8600,-7.2483,0.07207,1.1801,0.09852,0.00170,0.00005,-0.00037,-0.01104
11,2335,14,0.15405,1354030,34.801,35.266,16.001,16.654,-0.01000,0.010,66.177,14.742,364.229,38.817,-108.084,-3.9000,-15.885,-3.9810,-8.7840,0.07180,1.1137,0.12440,-0.01591,-0.00005,-0.00181,-0.01132
11,2335,15,0.15428,1355841,34.731,35.370,17.016,17.651,-0.01000,0.010,66.234,14.742,355.335,45.982,-159.545,-1.6540,-13.098,-3.9000,-10.437,0.07151,1.0839,0.14489,-0.02610,0.00004,-0.00169,-0.01102
11,2335,16,0.15487,1361019,34.840,35.646,17.996,18.610,-0.01000,0.010,66.275,14.743,345.924,52.663,-210.464,4.0400,45.074,-3.8110,-12.156,0.07121,1.0479,0.16295,-0.03583,0.00023,0.00027,-0.01066
11,2335,17,0.15568,1367875,35.030,36.017,18.980,19.559,-0.01000,0.010,66.341,14.743,330.021,59.453,-262.933,-3.7020,-21.882,-3.7350,-14.001,0.07089,0.99048,0.18016,-0.04585,-0.00002,-0.00186,-0.01031
11,2335,18,0.15516,1363131,34.645,35.778,19.992,20.547,-0.01000,0.010,66.401,14.743,314.290,64.907,-300.802,2.4780,33.329,-3.4780,-16.024,0.07054,0.95046,0.19674,-0.05348,0.00019,-0.00002,-0.00961
11,2335,19,0.15582,1368766,35.092,36.081,19.008,19.591,-0.01000,0.010,66.439,14.743,332.750,59.762,-263.215,2.7530,48.724,-3.7590,-14.055,0.07088,0.99681,0.18089,-0.04568,0.00019,0.00043,-0.01036
11,2335,20,0.15590,1369337,35.303,36.119,18.004,18.617,-0.01000,0.010,66.465,14.742,350.348,53.311,-211.201,3.6620,63.523,-3.6030,-12.170,0.07121,1.0474,0.16279,-0.03544,0.00022,0.00085,-0.00990
11,2335,21,0.15529,1363746,35.176,35.833,17.003,17.637,-0.01000,0.010,66.514,14.742,359.021,46.916,-167.327,-0.67500,0.32500,-3.6370,-10.415,0.07152,1.0811,0.14582,-0.02726,0.00007,-0.00124,-0.01009
11,2335,22,0.15499,1360934,35.186,35.695,15.950,16.592,-0.01000,0.010,66.559,14.741,362.120,40.460,-128.737,1.6370,31.175,-3.5850,-8.7043,0.07182,1.0943,0.12745,-0.01981,0.00014,-0.00023,-0.01000
11,2335,23,0.15420,1353929,35.107,35.333,15.006,15.701,-0.01000,0.010,66.584,14.741,387.707,29.985,-21.618,-0.58600,27.925,-3.7130,-7.2886,0.07206,1.1819,0.09923,0.00168,0.00005,-0.00043,-0.01050
11,2335,24,0.15444,1355938,35.239,35.441,14.039,14.701,-0.01000,0.010,66.600,14.741,371.198,27.186,-21.639,-1.0840,21.463,-3.6860,-5.9546,0.07230,1.1288,0.08934,0.00129,0.00003,-0.00058,-0.01043
11,2335,25,0.15373,1349671,34.935,35.115,12.958,13.580,-0.01000,0.010,66.605,14.741,345.683,23.956,-21.748,-1.0770,18.976,-3.6950,-4.6030,0.07253,1.0618,0.07887,0.00079,0.00003,-0.00058,-0.01061
11,2335,26,0.15359,1348306,34.878,35.048,12.052,12.637,-0.01000,0.010,66.616,14.740,324.805,21.713,-21.962,-1.5380,15.734,-3.8480,-3.5841,0.07271,1.0004,0.07095,0.00037,0.00001,-0.00061,-0.01113
11,2335,27,0.15350,1347469,34.852,35.010,10.968,11.507,-0.01000,0.010,66.648,14.740,299.813,19.138,-21.471,-1.5650,11.300,-3.9750,-2.5020,0.07290,0.92545,0.06178,0.00004,0.00000,-0.00067,-0.01158
11,2335,28,0.15428,1354240,35.215,35.367,10.015,10.512,-0.01000,0.010,66.672,14.740,279.697,17.233,-20.098,-1.8320,15.426,-2.6450,-1.6741,0.07304,0.85581,0.05426,-0.00005,-0.00001,-0.00046,-0.00749
11,2335,29,0.15406,1352157,35.121,35.265,8.991,9.442,-0.01000,0.010,66.712,14.740,253.649,15.100,-19.135,-1.5480,6.2690,-3.4880,-0.91360,0.07318,0.77961,0.04676,-0.00023,-0.00001,-0.00067,-0.01011
11,2335,30,0.15372,1349017,34.967,35.106,7.998,8.403,-0.01000,0.010,66.727,14.739,227.767,13.300,-19.425,-1.8020,1.0340,-2.9630,-0.30400,0.07328,0.70467,0.04044,-0.00068,-0.00002,-0.00076,-0.00861
11,2335,31,0.15360,1347856,34.919,35.051,5.990,6.302,-0.01000,0.010,66.754,14.739,176.624,10.243,-21.425,-1.4450,8.7910,-1.3240,0.54319,0.07343,0.55064,0.02927,-0.00175,-0.00002,-0.00032,-0.00373
11,2335,32,0.15354,1347245,34.897,35.023,3.988,4.207,-0.01000,0.010,66.777,14.739,125.788,7.9510,-25.187,0.24900,16.973,-0.02100,0.87348,0.07349,0.39678,0.02067,-0.00304,0.00003,0.00014,0.00014
11,2335,33,0.15374,1348899,34.988,35.113,2.007,2.132,-0.01000,0.010,66.785,14.738,74.724,6.5260,-32.872,0.40000,17.196,0.53800,0.69436,0.07346,0.24122,0.01519,-0.00501,0.00003,0.00032,0.00176
11,2335,34,0.15405,1351462,35.127,35.251,0.001,0.033,-0.01000,0.010,66.802,14.737,24.555,5.8310,-43.924,0.52500,-2.4370,0.55900,0.00034,0.07333,0.08907,0.01234,-0.00754,0.00003,-0.00016,0.00174

