RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
39,2335,1,0.15346,1351147,34.736,34.871,-4.008,-4.156,-0.01000,0.010,64.022,14.690,-73.474,6.8820,-75.700,-0.46200,7.0670,0.36200,-2.9392,0.07298,-0.20831,0.01473,-0.01386,0.00001,0.00051,0.00104
39,2335,2,0.15365,1352511,34.829,34.956,-2.008,-2.066,-0.01000,0.010,64.107,14.690,-24.914,5.9530,-59.475,-0.11400,4.6260,0.35300,-1.2158,0.07328,-0.06018,0.01225,-0.01059,0.00002,0.00026,0.00108
39,2335,3,0.15363,1352428,34.830,34.953,-0.008,0.024,-0.01000,0.010,64.128,14.691,23.986,5.8130,-45.372,-1.2570,20.374,0.69500,-0.00396,0.07349,0.08849,0.01233,-0.00760,-0.00002,0.00061,0.00219
39,2335,4,0.15361,1352065,34.818,34.941,2.002,2.127,-0.01000,0.010,64.166,14.691,74.601,6.4970,-34.352,-1.9370,23.827,0.67900,0.69710,0.07361,0.24248,0.01511,-0.00505,-0.00003,0.00055,0.00222
39,2335,5,0.15389,1354580,34.947,35.073,4.018,4.239,-0.01000,0.010,64.189,14.692,126.849,8.0230,-26.903,-1.4810,23.071,-0.17700,0.87892,0.07364,0.39996,0.02079,-0.00307,-0.00001,0.00034,-0.00030
39,2335,6,0.15399,1355318,34.986,35.119,6.023,6.337,-0.01000,0.010,64.234,14.692,177.994,10.394,-23.270,-3.3830,11.413,-1.5180,0.54169,0.07358,0.55426,0.02961,-0.00181,-0.00007,-0.00023,-0.00429
39,2335,7,0.15383,1353831,34.908,35.047,7.951,8.355,-0.01000,0.010,64.279,14.693,226.578,13.265,-22.122,-4.4190,20.352,-2.6660,-0.26948,0.07344,0.70275,0.04028,-0.00094,-0.00009,-0.00011,-0.00770
39,2335,8,0.15397,1354889,34.959,35.111,10.054,10.553,-0.01000,0.010,64.333,14.693,278.707,17.286,-23.011,-8.2720,20.592,-1.1120,-1.6975,0.07319,0.85950,0.05478,-0.00040,-0.00021,-0.00028,-0.00287
39,2335,9,0.15370,1352338,34.829,34.986,10.944,11.484,-0.01000,0.010,64.372,14.693,299.762,19.125,-24.824,-5.8100,33.884,-3.5810,-2.4721,0.07306,0.92646,0.06171,-0.00034,-0.00012,0.00009,-0.01037
39,2335,10,0.15351,1350620,34.733,34.901,12.019,12.604,-0.01000,0.010,64.398,14.693,323.492,21.621,-24.869,-7.2050,36.129,-2.4940,-3.5424,0.07287,1.0011,0.07087,0.00004,-0.00017,0.00008,-0.00703
