RUN,TEST,TP,MACH,RE_MAC,QA,QC,ALPHAENC,ALPHAC,PSI,BETA,TEMPTS,PRESSTS,LIFTR,DRAGR,PMR,YMR,RMR,SFR,PMWT,RMWT,CLWA,CDWA,CMWA25,CNWA25,CRWA25,CYWA
23,2335,1,0.15324,1347247,34.744,34.879,-3.980,-4.127,-0.01000,0.010,65.892,14.736,-73.058,6.8330,-75.084,1.2080,-7.1090,-0.17800,-2.9161,0.07297,-0.20744,0.01469,-0.01398,0.00005,0.00001,-0.00060
23,2335,2,0.15402,1353979,35.112,35.240,-2.003,-2.063,-0.01000,0.010,65.970,14.737,-25.791,5.9340,-59.396,1.2720,-2.3910,-0.21500,-1.2145,0.07327,-0.06266,0.01216,-0.01072,0.00005,0.00000,-0.00064
23,2335,3,0.15418,1355481,35.193,35.317,-0.012,0.019,-0.01000,0.010,65.977,14.738,23.639,5.7900,-44.529,0.08000,8.3680,0.16000,-0.00587,0.07348,0.08625,0.01219,-0.00758,0.00001,0.00019,0.00057
23,2335,4,0.15402,1353903,35.120,35.243,2.034,2.160,-0.01000,0.010,66.027,14.738,75.870,6.4800,-32.900,-0.02800,15.249,0.19700,0.70655,0.07360,0.24392,0.01502,-0.00493,0.00002,0.00023,0.00076
23,2335,5,0.15387,1352414,35.049,35.174,3.940,4.156,-0.01000,0.010,66.078,14.738,124.848,7.8940,-25.631,0.79000,14.519,-0.68900,0.88647,0.07363,0.39236,0.02038,-0.00306,0.00005,0.00004,-0.00185
23,2335,6,0.15401,1353639,35.109,35.241,6.047,6.361,-0.01000,0.010,66.110,14.739,178.776,10.350,-21.101,-0.13700,8.6700,-1.7080,0.54212,0.07357,0.55432,0.02949,-0.00159,0.00003,-0.00035,-0.00483
23,2335,7,0.15392,1352714,35.060,35.199,7.960,8.364,-0.01000,0.010,66.156,14.740,227.315,13.218,-19.529,-1.9970,-0.07800,-2.7900,-0.26425,0.07343,0.70159,0.04007,-0.00067,-0.00003,-0.00081,-0.00803
23,2335,8,0.15332,1347407,34.779,34.929,10.021,10.518,-0.01000,0.010,66.204,14.741,276.317,17.011,-19.805,-3.6180,1.6030,-2.3220,-1.6578,0.07319,0.85615,0.05427,-0.00002,-0.00007,-0.00093,-0.00657
23,2335,9,0.15356,1349338,34.877,35.037,11.010,11.550,-0.01000,0.010,66.249,14.741,300.405,19.250,-21.524,1.5280,13.928,-5.3570,-2.5192,0.07304,0.92660,0.06211,0.00012,0.00011,-0.00061,-0.01574
23,2335,10,0.15377,1351140,34.964,35.134,11.994,12.576,-0.01000,0.010,66.271,14.741,324.079,21.617,-21.339,-0.89500,0.25100,-5.0720,-3.5001,0.07287,0.99579,0.07042,0.00053,0.00003,-0.00115,-0.01478
23,2335,11,0.15374,1350728,34.940,35.122,12.967,13.588,-0.01000,0.010,66.326,14.741,345.108,24.003,-21.095,1.6160,23.284,-4.5790,-4.5911,0.07268,1.0599,0.07897,0.00100,0.00012,-0.00045,-0.01325
23,2335,12,0.15384,1351450,34.966,35.168,14.004,14.663,-0.01000,0.010,66.373,14.741,366.577,26.872,-20.546,0.62000,18.846,-4.0810,-5.8860,0.07245,1.1235,0.08893,0.00151,0.00009,-0.00068,-0.01168
23,2335,13,0.15371,1350205,34.883,35.108,15.031,15.725,-0.01000,0.010,66.402,14.741,385.076,29.785,-20.278,-0.99500,15.397,-4.0030,-7.3024,0.07220,1.1815,0.09921,0.00197,0.00004,-0.00086,-0.01142
23,2335,14,0.15401,1352729,34.738,35.246,15.965,16.604,-0.01000,0.010,66.440,14.741,356.233,40.047,-127.278,7.3200,63.175,-3.7520,-8.7060,0.07196,1.0903,0.12768,-0.01973,0.00033,0.00083,-0.01061
